Number of Episodes,Rewards
750,-137.99388501999996
765,-141.9296609
780,-143.12280072000001
795,-142.58595624
810,-150.94734889999998
825,-157.51264953999998
840,-162.38837370000002
855,-159.96236556
870,-157.34420623999998
885,-156.98577328000002
900,-158.98569032000003
915,-159.61197386
930,-158.76888398
945,-152.40169948
960,-144.14792402
975,-143.53107308
990,-140.99669626
1005,-141.31460231999998
1020,-141.87422551999998
1035,-141.85252687999997
1050,-142.07287852
1065,-143.34254356
1080,-143.7767092
1095,-142.32149908000002
1110,-142.06676542
1125,-142.59950219999996
1140,-143.38989116
1155,-143.48442722
1170,-143.34928087999995
1185,-140.98084754
1200,-141.66069426
1215,-139.895142
1230,-138.13522142
1245,-138.27414075999997
1260,-133.73480978
1275,-136.58785358
1290,-135.88603878
1305,-135.33151450000003
1320,-135.90269242000002
1335,-136.17043818
1350,-137.45712502
1365,-135.45514482
1380,-134.52642598
1395,-131.19187404000004
1410,-132.20938960000004
1425,-133.09452668000003
1440,-137.79886213999998
1455,-130.92234564
1470,-130.90944506000002
1485,-128.76997564
1500,-127.81037588
1515,-123.74415266
1530,-122.73257492
1545,-131.13089196
1560,-120.05060658
1575,-115.65741956
1590,-109.94555666
1605,-110.13636137999998
1620,-110.02423918
1635,-112.98292432
1650,-111.80015564
1665,-110.71815816
1680,-113.64276862000001
1695,-116.09343218000001
1710,-115.74048772
1725,-116.97142534000001
1740,-116.38353190000001
1755,-120.40711679999998
1770,-122.8903069
1785,-122.49008096000001
1800,-123.17900446000002
1815,-118.52383598
1830,-119.86200339999999
1845,-121.97584181999999
1860,-120.78081126
1875,-121.10513377999999
1890,-124.6543569
1905,-124.93432868
1920,-125.82312502
1935,-128.8478855
1950,-128.17868058
1965,-126.54733370000001
1980,-129.94667918
1995,-131.98155888000002
2010,-133.08734570000001
2025,-129.72645459999998
2040,-130.44656298
2055,-129.28966534
2070,-127.70556552000001
2085,-130.01242376000002
2100,-128.63518188
2115,-128.88822332
2130,-129.35070524000002
2145,-129.84784608
2160,-128.32824172
2175,-126.79300077999999
2190,-122.41607199999999
2205,-125.35163666
2220,-123.04827
2235,-122.9296169
2250,-123.56459968
2265,-119.22089532
2280,-118.88696046
2295,-108.78329986
2310,-108.58501926
