#{"t_start": 1651951756.5723543, "env_id": null}
r,l,t
-267.497347,90,0.145709
-156.502718,90,0.240456
-196.551986,90,0.326239
-297.759434,90,0.410017
-234.586447,90,0.493817
-308.661721,90,0.57958
-126.598881,90,0.663487
-225.820819,90,0.752801
-191.609922,90,0.837575
-238.2618,90,0.921498
-156.548766,90,1.009438
-341.841805,90,1.093211
-243.66992,90,1.175016
-168.951789,90,1.257771
-196.065245,90,1.339552
-153.134478,90,1.423774
-203.709393,90,1.506567
-182.26161,90,1.588336
-235.964621,90,1.670966
-406.48706,90,1.750752
-187.708424,90,1.831539
-139.57317,90,1.911345
-292.244938,90,2.196044
-211.393352,90,2.291789
-264.130218,90,2.379554
-148.945406,90,2.474248
-263.576583,90,2.557051
-250.758131,90,2.639801
-270.271392,90,2.722365
-336.633154,90,2.803327
-148.18191,90,2.886126
-342.213506,90,2.968885
-400.755547,90,3.053658
-198.933455,90,3.136436
-189.032185,90,3.218217
-184.207452,90,3.300996
-183.742358,90,3.383775
-359.743514,90,3.467552
-395.684942,90,3.549332
-159.650624,90,3.630117
-223.231133,90,3.711875
-136.224584,90,3.794669
-158.687105,90,3.877433
-108.739725,90,3.960212
-205.451705,90,4.042989
-206.978304,90,4.31417
-269.023447,90,4.403955
-150.569931,90,4.493717
-123.848711,90,4.578795
-165.980876,90,4.663463
-126.687817,90,4.747239
-247.052436,90,4.833163
-219.030674,90,4.917289
-318.386233,90,5.001056
-248.516643,90,5.085829
-193.393817,90,5.170046
-173.834114,90,5.25482
-269.228795,90,5.340755
-176.346856,90,5.424531
-193.229338,90,5.509305
-166.293165,90,5.593081
-97.678142,90,5.680047
-127.363634,90,5.764163
-302.830238,90,5.850327
-152.916185,90,5.936098
-173.092236,90,6.020871
-200.654872,90,6.105646
-218.058301,90,6.189422
-193.260487,90,6.468673
-170.371023,90,6.560427
-160.393449,90,6.646043
-145.97329,90,6.732324
-217.087701,90,6.816112
-123.295378,90,6.899876
-189.637187,90,6.982655
-167.050871,90,7.063439
-141.704999,90,7.14522
-237.86297,90,7.226004
-137.83019,90,7.307786
-236.676911,90,7.388569
-121.244897,90,7.469353
-308.365582,90,7.553128
-191.172102,90,7.633912
-347.329326,90,7.715856
-191.902193,90,7.799832
-189.806573,90,7.882608
-296.286817,90,7.962394
-172.152929,90,8.044176
-115.661723,90,8.124959
-199.785123,90,8.207214
-120.506231,90,8.289992
-157.388567,90,8.568829
-142.338636,90,8.663497
-176.501496,90,8.749268
-109.016495,90,8.833043
-126.156688,90,8.914825
-279.297423,90,8.996605
-159.214923,90,9.07739
-131.987219,90,9.159171
-172.643715,90,9.24311
-176.408551,90,9.326887
-342.785908,90,9.41166
-125.528518,90,9.500423
-87.821068,90,9.588188
-106.359038,90,9.679009
-146.859521,90,9.76478
-144.609654,90,9.853541
-112.495974,90,9.941477
-230.289617,90,10.024455
-124.970843,90,10.109229
-93.872453,90,10.193005
-156.418766,90,10.304574
-173.951035,90,10.38835
-169.219005,90,10.670354
-98.993373,90,10.761123
-85.895408,90,10.848876
-174.234869,90,10.936642
-131.824292,90,11.023522
-143.432494,90,11.108295
-185.94317,90,11.197364
-101.042587,90,11.282138
-122.546765,90,11.366087
-158.21555,90,11.451418
-200.368832,90,11.536165
-126.833222,90,11.619971
-111.733516,90,11.70285
-143.195303,90,11.785628
-123.587519,90,11.86741
-116.623827,90,11.948194
-87.33262,90,12.028977
-173.631332,90,12.111782
-94.964038,90,12.194538
-125.685926,90,12.281304
-88.891348,90,12.36508
-96.209872,90,12.447858
-131.942107,90,12.529863
-177.548401,90,12.810998
-79.443326,90,12.900756
-92.078749,90,12.992512
-123.57413,90,13.078284
-75.399837,90,13.162058
-107.583739,90,13.242842
-162.492815,90,13.324624
-74.124537,90,13.405407
-124.004546,90,13.489184
-121.955999,90,13.572022
-211.178765,90,13.659907
-138.524287,90,13.740692
-95.032928,90,13.821477
-114.446885,90,13.903258
-166.82982,90,13.985155
-88.782214,90,14.065939
-188.323475,90,14.147721
-173.094603,90,14.231495
-167.49054,90,14.315273
-376.631009,90,14.398923
-110.809837,90,14.484136
-94.483962,90,14.568918
-110.359301,90,14.650527
-88.928158,90,14.93214
-265.329349,90,15.020903
-137.307056,90,15.112658
-96.339705,90,15.197432
-58.298002,90,15.283201
-266.671741,90,15.367974
-92.961859,90,15.456737
-88.693472,90,15.542507
-46.03874,90,15.630274
-79.032446,90,15.716816
-80.260327,90,15.802607
-103.477539,90,15.888357
-110.048493,90,15.97313
-153.306825,90,16.059899
-101.119567,90,16.145669
-62.656852,90,16.23144
-114.3923,90,16.31625
-137.324833,90,16.400208
-108.270011,90,16.483999
-236.596361,90,16.566762
-70.38043,90,16.651443
-146.143555,90,16.736217
-95.692903,90,16.818017
-92.259287,90,17.091265
-87.04657,90,17.181025
-78.948958,90,17.270786
-100.936665,90,17.355561
-121.076711,90,17.438349
-73.597949,90,17.520121
-118.470062,90,17.600904
-66.596354,90,17.681898
-68.618182,90,17.762659
-95.833471,90,17.843442
-82.184356,90,17.925225
-107.697124,90,18.006008
-91.373778,90,18.087789
-73.390446,90,18.171566
-72.733235,90,18.256338
-57.912049,90,18.345101
-122.413196,90,18.430871
-108.136272,90,18.513665
-123.507219,90,18.595432
-89.40549,90,18.676395
-115.911213,90,18.758177
-106.044819,90,18.843947
-69.298523,90,19.12014
-225.474112,90,19.211894
