#{"t_start": 1651712442.4566464, "env_id": null}
r,l,t
-106.11242,15,0.022128
-228.353445,15,0.022128
-69.210021,15,0.037751
-77.871963,15,0.053373
-142.208239,15,0.068993
-56.868864,15,0.084616
-214.349453,15,0.100237
-318.794029,15,0.115858
-86.04564,15,0.122361
-74.038514,15,0.137985
-21.606595,15,0.153606
-224.748312,15,0.153606
-72.855708,15,0.169227
-112.360883,15,0.184849
-221.057087,15,0.20047
-75.854102,15,0.20047
-230.01736,15,0.222614
-104.849242,15,0.238261
-27.003242,15,0.238261
-85.325678,15,0.25386
-82.178121,15,0.269497
-36.548955,15,0.269497
-205.587598,15,0.285102
-186.836405,15,0.300723
-55.141947,15,0.316355
-58.848963,15,0.32286
-148.039047,15,0.338491
-208.674158,15,0.354135
-36.979885,15,0.354135
-102.916053,15,0.369756
-467.781969,15,0.385349
-88.538779,15,0.40097
-70.979966,15,0.416591
-73.171485,15,0.423119
-53.584795,15,0.438742
-199.015799,15,0.438742
-213.44201,15,0.454373
-200.665458,15,0.469985
-194.379526,15,0.485626
-117.65048,15,0.485626
-61.060903,15,0.501227
-141.73075,15,0.51685
-51.197257,15,0.525377
-46.503558,15,0.543447
-36.954909,15,0.553499
-120.804304,15,0.565562
-106.230812,15,0.575622
-158.049747,15,0.585686
-55.243935,15,0.595741
-200.066475,15,0.613816
-238.575713,15,0.62586
-21.94707,15,0.635918
-40.344632,15,0.645946
-148.269116,15,0.656001
-34.044569,15,0.666031
-140.511599,15,0.684099
-43.038522,15,0.696234
-98.662925,15,0.706352
-156.326046,15,0.716418
-257.317282,15,0.726449
-236.381443,15,0.744544
-110.465705,15,0.754625
-72.58586,15,0.766671
-154.489878,15,0.776726
-102.702246,15,0.786756
-89.969056,15,0.796808
-149.900052,15,0.806838
-244.911514,15,0.824908
-99.745516,15,0.836992
-112.934944,15,0.847024
-151.139657,15,0.857107
-134.590296,15,0.865143
-68.021224,15,0.885249
-77.192322,15,0.895343
-60.955043,15,0.907403
-103.676635,15,0.917621
-130.785418,15,0.927649
-53.253321,15,0.937707
-62.87915,15,0.947736
-99.096159,15,0.957788
-194.665393,15,0.97585
-236.722001,15,0.98588
-145.16052,15,0.997937
-77.886697,15,1.007966
-66.544223,15,1.018093
-213.139099,15,1.028165
-60.144066,15,1.038221
-81.988742,15,1.056324
-69.687594,15,1.068366
-60.562024,15,1.07847
-265.190096,15,1.088498
-90.503207,15,1.098562
-39.502152,15,1.106577
-73.423263,15,1.118643
-51.303271,15,1.136753
-275.378427,15,1.146797
-164.897338,15,1.15894
-75.358724,15,1.16897
-41.953924,15,1.179041
-35.864792,15,1.189071
-58.008056,15,1.199142
-123.645032,15,1.20917
-198.071512,15,1.22724
-457.765677,15,1.239294
-71.734881,15,1.249323
-46.958815,15,1.259421
-121.174332,15,1.267436
-422.195196,15,1.279506
-397.169438,15,1.289597
-59.774996,15,1.307665
-237.93304,15,1.317722
-142.848066,15,1.329772
-146.539203,15,1.339842
-66.043837,15,1.349872
-78.478892,15,1.359991
-122.685464,15,1.378046
-24.89843,15,1.388074
-177.581492,15,1.400134
-344.827749,15,1.410187
-62.717867,15,1.420253
-36.811678,15,1.43029
-67.278984,15,1.440359
-110.393851,15,1.458435
-118.672598,15,1.468465
-49.471465,15,1.480534
-122.331035,15,1.490562
-96.841728,15,1.500611
-126.148183,15,1.51064
-68.660476,15,1.520892
-83.537701,15,1.528906
-111.368378,15,1.54898
-150.510851,15,1.559148
-92.14582,15,1.571189
-72.474255,15,1.581299
-80.89786,15,1.591328
-104.2611,15,1.601386
-376.735562,15,1.782748
-42.47246,15,1.792857
-79.787367,15,1.812988
-48.817473,15,1.823145
-436.138703,15,1.841336
-53.264387,15,1.853618
-39.415589,15,1.863696
-116.707829,15,1.881811
-19.261518,15,1.893956
-196.218715,15,1.904021
-277.498602,15,1.914075
-284.491387,15,1.93414
-151.664067,15,1.94425
-209.427055,15,1.954423
-61.458787,15,1.972633
-165.54562,15,1.984792
-30.725655,15,1.994837
-75.088642,15,2.004892
-66.319075,15,2.014921
-59.853861,15,2.032993
-20.981386,15,2.045063
-158.739217,15,2.055106
-82.694956,15,2.0652
-74.911332,15,2.075229
-76.205505,15,2.085284
-101.858708,15,2.095313
-61.139748,15,2.113417
-71.267817,15,2.124168
-27.552721,15,2.136214
-84.716737,15,2.14643
-35.533174,15,2.156459
-46.119292,15,2.166578
-90.219256,15,2.176608
-244.909593,15,2.186661
-48.35723,15,2.204768
-47.124104,15,2.214797
-30.840367,15,2.226923
-169.274831,15,2.236949
-75.287963,15,2.247
-75.770567,15,2.257029
-76.463484,15,2.267123
-10.940555,15,2.277151
-87.575044,15,2.295232
-193.638644,15,2.307367
-105.402509,15,2.315382
-103.446649,15,2.327439
-36.19157,15,2.337469
-35.007964,15,2.355561
-41.540142,15,2.365667
-59.451623,15,2.377712
-224.062634,15,2.387768
-21.342947,15,2.397796
-108.355833,15,2.407861
-296.19652,15,2.417895
-119.908114,15,2.435995
-70.826005,15,2.448058
-90.815098,15,2.456073
-77.284549,15,2.46814
-166.309162,15,2.476154
-271.484348,15,2.496256
-74.880432,15,2.508321
-16.01984,15,2.516335
-41.196866,15,2.528391
-45.455625,15,2.536405
-198.669579,15,2.55652
-100.816119,15,2.568577
-236.358801,15,2.576593
-44.429789,15,2.588683
-149.745119,15,2.59671
-57.354405,15,2.608744
-33.129318,15,2.628914
-150.291411,15,2.636929
-46.138995,15,2.648985
-61.783816,15,2.656999
-11.826488,15,2.66906
-17.549244,15,2.689204
-62.040216,15,2.697255
-96.601196,15,2.709315
-80.957192,15,2.717352
-49.494646,15,2.737629
-135.450358,15,2.749682
-102.329788,15,2.757697
-21.237309,15,2.769803
-10.908671,15,2.777817
-32.522492,15,2.797882
-67.745331,15,2.809956
-151.887295,15,2.81797
-138.54045,15,2.830025
-55.028964,15,2.838039
-99.353392,15,2.85811
-58.227403,15,2.870176
-151.328206,15,2.87819
-21.210994,15,2.890265
-35.278253,15,2.89828
-87.880589,15,2.918403
-150.616806,15,2.930516
-82.465276,15,2.93853
-189.525755,15,2.950585
-86.966557,15,2.958599
-205.49729,15,2.970673
