#{"t_start": 1651712624.480368, "env_id": null}
r,l,t
-185.743855,90,0.088692
-147.924453,90,0.161154
-216.392351,90,0.239913
-156.476082,90,0.312238
-130.371181,90,0.38257
-171.648599,90,0.452957
-221.977127,90,0.521266
-142.49699,90,0.601614
-236.132905,90,0.674618
-187.73523,90,0.753024
-212.23634,90,0.82552
-188.792095,90,0.894512
-115.859745,90,0.97914
-154.123229,90,1.041625
-181.365027,90,1.12624
-294.088768,90,1.195264
-149.184591,90,1.263878
-135.633733,90,1.326367
-384.101478,90,1.41098
-130.981284,90,1.47997
-108.103933,90,1.542456
-121.31452,90,1.627096
-174.364707,90,1.865306
-210.958669,90,1.943414
-216.223601,90,2.028026
-104.510277,90,2.097044
-84.950299,90,2.166059
-67.95718,90,2.244168
-124.092044,90,2.313176
-78.860959,90,2.397788
-110.226051,90,2.466777
-141.984796,90,2.544886
-125.890791,90,2.613878
-117.918693,90,2.682892
-132.531754,90,2.760977
-98.590882,90,2.829969
-158.814232,90,2.898977
-236.237893,90,2.96795
-110.591796,90,3.04606
-320.914338,90,3.115056
-132.873283,90,3.199691
-162.054715,90,3.268659
-107.943856,90,3.331147
-169.836077,90,3.41122
-301.40073,90,3.481564
-122.170341,90,3.723361
-152.072953,90,3.793829
-230.685521,90,3.872367
-132.494897,90,3.944677
-93.656858,90,4.013029
-111.013685,90,4.073431
-90.961717,90,4.14588
-175.518643,90,4.216372
-164.536119,90,4.287541
-150.209037,90,4.355885
-103.037745,90,4.41821
-290.682069,90,4.48864
-95.293363,90,4.559154
-109.516208,90,4.629603
-135.30908,90,4.697957
-69.624849,90,4.760244
-78.743617,90,4.830678
-123.479232,90,4.901279
-157.624637,90,4.969631
-154.64868,90,5.040114
-170.881498,90,5.100382
-207.340608,90,5.172978
-131.896166,90,5.243312
-78.771438,90,5.49576
-113.77464,90,5.584289
-127.907099,90,5.656641
-75.22453,90,5.734962
-119.59116,90,5.805254
-126.768206,90,5.877659
-124.753607,90,5.945897
-101.282697,90,6.026374
-147.695343,90,6.099615
-139.976509,90,6.167992
-79.409844,90,6.248662
-88.791144,90,6.329246
-150.729544,90,6.401801
-135.887115,90,6.470053
-96.246186,90,6.550613
-111.543269,90,6.623116
-107.447048,90,6.707753
-190.589855,90,6.776715
-148.689665,90,6.854822
-72.134988,90,6.923814
