Number of Episodes,Rewards
1500,-131.83978770000002
1530,-132.38743684000002
1560,-131.40756040000002
1590,-130.4237363
1620,-130.26480088
1650,-129.92485236000002
1680,-129.80027154
1710,-129.31189795999998
1740,-130.23456620000002
1770,-133.55138366
1800,-133.19093358
1830,-133.19478792
1860,-132.32863256000002
1890,-133.73502298000002
1920,-132.88469046
1950,-133.98433766
1980,-133.94437392
2010,-142.28086002
2040,-142.8908182
2070,-142.74345522000002
2100,-143.92126924000002
2130,-143.11687558000003
2160,-143.82698282
2190,-145.1928216
2220,-140.58666586000004
2250,-140.72424182000003
2280,-138.40983584
2310,-137.50883301999997
2340,-131.9696336
2370,-132.8519425
2400,-138.18534158000003
2430,-139.44960932000004
2460,-137.85583812000002
2490,-140.0399858
2520,-139.55893295999996
2550,-143.45650222
2580,-140.52223392000002
2610,-137.75997691999999
2640,-138.05874081999997
2670,-139.07745246
2700,-141.4144082
2730,-140.9356068
2760,-142.20826482
2790,-146.51093924
2820,-139.79419611999998
2850,-139.44730445999997
2880,-139.62902047999998
2910,-147.53857606
2940,-138.21799264
2970,-137.19195815999998
3000,-138.97559186
3030,-137.84758482
3060,-137.6503495
3090,-135.21294034000002
3120,-135.55481012
3150,-136.72942108
3180,-136.02460762
3210,-136.32070090000002
3240,-136.72298322
3270,-133.27200358
3300,-132.66666118000003
3330,-135.23276978
3360,-139.88176928000001
3390,-142.70460616
3420,-143.39419342
3450,-141.75796574
3480,-142.38262378000002
3510,-133.64084190000003
3540,-133.03934354
3570,-132.71924824
3600,-131.69702902
3630,-133.82921573999997
3660,-131.88791512
3690,-129.69094382
3720,-132.44165958000002
3750,-133.25210878000001
3780,-137.11177754000002
3810,-135.09818922
3840,-137.59011266
3870,-139.90914454
3900,-134.50373162000002
3930,-132.70427328000002
3960,-133.2033481
3990,-133.64866302000001
4020,-133.59239854000003
4050,-128.76658020000002
4080,-131.01639792000003
4110,-130.9885326
4140,-129.9445431
4170,-130.85677078
4200,-130.7596124
4230,-131.1391886
4260,-129.84717272
4290,-125.5240473
4320,-126.24935652
4350,-126.17030566000001
4380,-125.48999062000001
4410,-117.73756272
4440,-119.30925588000001
4470,-118.83116884
4500,-116.93057478
4530,-116.86326007999999
4560,-116.7784575
4590,-119.27264923999999
4620,-119.09658861999999
4650,-118.9262498
4680,-120.22777056000001
4710,-119.81248746
4740,-118.90315924000001
4770,-119.98750328
4800,-120.46441282
4830,-118.26910738000001
4860,-114.89373788000002
4890,-111.06459974
4920,-110.47593802
4950,-109.46907540000001
4980,-110.69170482
5010,-110.2293946
5040,-110.23226228
5070,-109.55947574000001
5100,-110.17664514000002
5130,-108.42646204
5160,-110.38499612000001
5190,-111.83217264
5220,-111.72411385999999
5250,-110.71527806
5280,-109.57665742
5310,-108.98079194000002
5340,-106.72563464000001
5370,-103.60697114000001
5400,-103.17827648000001
5430,-103.09911618000001
5460,-104.86747246000002
5490,-102.30025312000001
5520,-101.81204128
5550,-100.44341832
5580,-99.1273764
5610,-98.96465456
5640,-99.03034402
5670,-97.65297792000001
5700,-96.32281838
5730,-98.40990461999999
5760,-100.87530176000001
5790,-100.87245096
5820,-99.86592716
5850,-100.22442122000001
5880,-100.0315168
5910,-101.02716131999999
5940,-101.93031388
5970,-100.2257355
6000,-103.7709141
6030,-109.34717309999999
6060,-112.73242466
6090,-111.20904126
6120,-110.2192209
6150,-110.30870266
6180,-108.81803588
6210,-109.10101172000002
6240,-109.3204204
6270,-107.8796549
6300,-107.08334946000001
6330,-106.4032855
6360,-107.99156966
6390,-107.03939514000001
6420,-106.40625296
6450,-106.58617934
6480,-102.0380138
6510,-105.47867120000001
6540,-105.76121590000001
6570,-106.08966306
6600,-104.79255592
6630,-104.90114486
6660,-102.83239218000001
6690,-101.91447766
6720,-98.7730357
6750,-100.05693302
6780,-97.10887414000001
6810,-97.24481995999999
6840,-100.56843469999998
6870,-100.81327848000001
6900,-102.25965210000001
6930,-105.21979144
6960,-104.11474284
6990,-105.90797368
7020,-108.39107906
7050,-108.40115085999999
7080,-107.89145162
7110,-107.53122700000002
7140,-108.176094
7170,-108.60203630000001
7200,-107.94936812000002
7230,-106.00750868000002
7260,-103.06857388000002
7290,-102.86082028000001
7320,-102.51012158000002
7350,-102.43981196000001
7380,-108.8479643
7410,-108.43642270000001
7440,-105.75705512000002
7470,-107.11121676000002
7500,-104.5468838
7530,-99.035002
7560,-97.11542866000002
7590,-96.74060752
7620,-96.67948782
7650,-96.92871238000001
7680,-97.50785316000001
7710,-98.64188572
7740,-97.47397667999999
7770,-99.8839171
7800,-98.17083876
7830,-98.59445783999999
7860,-98.01411594
7890,-97.7407417
7920,-97.61703174
7950,-97.92391640000001
7980,-99.5928988
8010,-97.12465519999999
8040,-96.73142567999999
8070,-99.49112483999998
8100,-99.40322252
8130,-98.90921396
8160,-100.99522934
8190,-100.68850648000002
8220,-101.75999144000001
8250,-106.74143932
8280,-107.50270138
8310,-107.50535502000001
8340,-102.94129846
8370,-106.2334681
8400,-105.30386538
8430,-102.4499929
8460,-100.96212586
8490,-99.3290849
8520,-99.02146882
8550,-99.16570203999999
8580,-99.03263292000001
8610,-99.58814011999999
8640,-98.44642934
8670,-98.14396492
8700,-98.31459106
8730,-100.41973587999999
8760,-100.10406448
8790,-100.63535716000001
8820,-100.62659906
8850,-100.32430246
8880,-94.1606116
8910,-93.96989184
8940,-94.26131232
8970,-94.25884276000001
9000,-98.31420626
9030,-98.24475196
9060,-98.48577384000001
9090,-98.28602082
9120,-99.65681906000002
9150,-100.26718392000002
9180,-99.74513058000001
9210,-98.01458018000001
9240,-98.34188718000001
9270,-95.36205198
9300,-95.69294246000001
9330,-95.14054730000001
9360,-95.31227314
9390,-95.17548014
9420,-94.80442331999998
9450,-94.07431668
9480,-92.18960814000002
9510,-90.92369252
9540,-91.1159586
9570,-88.83165286
9600,-89.0076624
9630,-89.76874717999999
9660,-87.66316138
9690,-96.00079168
9720,-95.46822464000002
9750,-92.88587692
9780,-92.69295902
9810,-92.53973798
9840,-93.50319352
9870,-90.90411386
9900,-93.6914858
9930,-94.5118952
9960,-95.53790494
9990,-95.07930186
10020,-93.26493898000003
10050,-93.76417734
10080,-93.96507258
10110,-94.06383066000001
10140,-94.79299628
10170,-94.18434083999999
10200,-93.93686542
10230,-93.04506782
10260,-93.82055574
10290,-92.9117752
10320,-92.30290876
10350,-91.94176092000001
10380,-91.48054134
10410,-90.48637526
10440,-90.24148222
10470,-89.65794672
10500,-85.2734248
10530,-84.69895206
10560,-83.898257
10590,-83.98259276
10620,-83.21040564
10650,-80.92030913999999
10680,-80.60282274
10710,-80.94008446000001
10740,-81.07356524000001
10770,-81.31489152
10800,-81.5093415
10830,-80.87913256
10860,-78.67631811999999
10890,-79.07105511999998
10920,-79.60462757999998
10950,-78.57031411999999
10980,-79.84034367999999
11010,-80.08943670000001
11040,-79.40984522
11070,-79.68689090000001
11100,-78.95765438
11130,-81.72454721999999
11160,-83.8176719
11190,-75.8524159
11220,-77.27629604
11250,-74.44324228
11280,-75.12606710000001
11310,-75.36017124
11340,-75.49862850000001
11370,-75.22399682000001
11400,-72.09265090000001
11430,-71.11983994
11460,-71.21262016
11490,-71.68155364
11520,-71.09208108
11550,-70.84364704000001
11580,-72.55338220000002
11610,-73.15031046000001
11640,-72.80023406000001
