#{"t_start": 1651711050.841196, "env_id": null}
r,l,t
-109.986782,30,0.035904
-124.628153,30,0.066821
-221.302445,30,0.097761
-94.334451,30,0.128656
-87.570912,30,0.159574
-135.512035,30,0.191505
-91.510042,30,0.220411
-54.732188,30,0.249333
-74.897327,30,0.277259
-187.942252,30,0.306182
-103.943783,30,0.336101
-88.543139,30,0.366022
-96.967103,30,0.394036
-122.732265,30,0.421962
-157.242455,30,0.448898
-192.296848,30,0.476815
-98.012822,30,0.503754
-68.462619,30,0.533664
-96.399097,30,0.561588
-90.81486,30,0.590511
-98.463261,30,0.617439
-127.31298,30,0.645364
-77.501878,30,0.673306
-283.673059,30,0.701215
-42.695685,30,0.72914
-171.068373,30,0.757066
-241.164339,30,0.785012
-354.828568,30,0.81192
-40.110478,30,0.839361
-75.407872,30,0.867287
-68.093392,30,0.894216
-126.659996,30,0.922172
-49.709242,30,0.949082
-98.890509,30,0.977991
-160.033154,30,1.006914
-177.847286,30,1.034859
-194.52874,30,1.064759
-89.458154,30,1.091688
-45.880249,30,1.119612
-80.003032,30,1.147775
-54.349279,30,1.1757
-71.672983,30,1.203643
-75.680499,30,1.232549
-430.617471,30,1.259477
-117.293651,30,1.287401
-96.840049,30,1.314328
-58.761763,30,1.341257
-521.733842,30,1.368185
-217.277051,30,1.394672
-46.600972,30,1.4216
-137.369239,30,1.448528
-75.634331,30,1.475456
-172.11124,30,1.501387
-86.38768,30,1.528315
-70.573486,30,1.555243
-129.282994,30,1.582171
-67.091363,30,1.609099
-100.8656,30,1.636027
-240.7382,30,1.662956
-169.919748,30,1.689884
-104.1365,30,1.716812
-45.235371,30,1.74374
-167.286624,30,1.770668
-80.215639,30,1.797595
-212.224815,30,1.824523
-190.298661,30,1.851451
-514.837127,30,1.878379
-98.960528,30,1.90817
-89.030948,30,2.123592
-149.705561,30,2.151517
-58.243578,30,2.185427
-162.818342,30,2.212354
-145.793817,30,2.240279
-53.365272,30,2.26621
-49.574483,30,2.294136
-55.348074,30,2.321065
-196.114198,30,2.34899
-77.868597,30,2.376515
-84.225923,30,2.404126
-342.077826,30,2.432063
-131.306779,30,2.458979
-46.971436,30,2.485906
-158.916626,30,2.513116
-74.837867,30,2.540043
-354.911617,30,2.566972
-31.133871,30,2.592926
-56.41589,30,2.619837
-104.396349,30,2.647043
-96.815831,30,2.67395
-196.850819,30,2.700901
-30.409209,30,2.727806
-135.305884,30,2.753736
-290.81422,30,2.780664
-94.780315,30,2.807593
-99.949068,30,2.834521
-105.92585,30,2.861449
-454.239542,30,2.888387
-55.704671,30,2.915332
-165.975327,30,2.942233
-135.782657,30,2.969161
-80.968887,30,2.996089
-65.772565,30,3.023017
-50.240782,30,3.049964
-103.481169,30,3.076872
-129.304034,30,3.104797
-94.042321,30,3.131739
-81.896027,30,3.158654
-120.979716,30,3.185582
-68.189218,30,3.21251
-139.652628,30,3.239439
-232.44193,30,3.266366
-277.685346,30,3.292561
-308.428468,30,3.319489
-114.695002,30,3.346417
-130.413431,30,3.373345
-221.531563,30,3.399638
-77.748033,30,3.426566
-68.88561,30,3.453516
-73.026183,30,3.480423
-98.5946,30,3.50735
-164.852914,30,3.533281
-65.753311,30,3.561205
-35.945252,30,3.588134
-190.90106,30,3.61606
-90.096943,30,3.641991
-248.331512,30,3.668927
-95.434782,30,3.695847
-202.464769,30,3.722774
-200.177517,30,3.749707
-71.80718,30,3.776661
-41.333862,30,3.803559
-71.925177,30,3.830486
-181.182372,30,3.856417
-72.024643,30,3.883352
-113.6207,30,3.910273
-143.624757,30,3.938199
-55.022624,30,4.162713
-52.196874,30,4.191635
-142.427215,30,4.222553
-191.9929,30,4.252473
-49.388019,30,4.28339
-70.70509,30,4.312313
-74.657949,30,4.34323
-131.045776,30,4.37222
-95.996525,30,4.401155
-71.910098,30,4.42908
-66.618147,30,4.456925
-134.289329,30,4.484851
-142.070975,30,4.512801
-40.752954,30,4.540701
-77.603152,30,4.568626
-61.532436,30,4.597557
-174.950369,30,4.625475
-94.678138,30,4.6534
-120.787093,30,4.681327
-159.118359,30,4.708254
-61.131872,30,4.737177
-75.513305,30,4.765285
-122.40642,30,4.793807
-163.498105,30,4.822728
-122.676658,30,4.850667
-108.916871,30,4.87858
-116.971561,30,4.906747
-85.261916,30,4.936667
-80.0703,30,4.964598
-282.663034,30,4.992533
-54.632522,30,5.020443
-69.028994,30,5.049365
-39.386856,30,5.078288
-129.45307,30,5.106214
-77.343759,30,5.136134
-163.680015,30,5.165057
-108.304078,30,5.192982
-185.498121,30,5.22108
-39.655153,30,5.248024
-191.40048,30,5.275933
-65.641508,30,5.303859
-89.706904,30,5.331784
-44.244342,30,5.35971
-50.372447,30,5.387631
-37.375847,30,5.415557
-160.342991,30,5.443482
-52.821405,30,5.471408
-47.614051,30,5.498335
-45.189552,30,5.526418
-77.822661,30,5.554344
-46.886532,30,5.581272
-55.481347,30,5.609197
-73.55891,30,5.637123
-125.484923,30,5.665048
-153.742331,30,5.692974
-193.974947,30,5.720908
-74.515409,30,5.74982
-80.719586,30,5.777746
-113.921228,30,5.805672
-62.264877,30,5.833596
-116.400373,30,5.86252
-179.446957,30,5.890448
-56.842056,30,5.918371
-218.011884,30,5.945331
-356.416102,30,5.974221
-230.795014,30,6.002147
-98.781199,30,6.031077
-45.18712,30,6.059991
-125.261181,30,6.281399
-84.58502,30,6.310322
-75.280664,30,6.341239
-86.483739,30,6.374518
-50.368145,30,6.406058
-123.682833,30,6.434981
-88.67346,30,6.464901
-188.331079,30,6.49482
-69.362835,30,6.523743
-53.604807,30,6.551668
-89.066619,30,6.579594
-55.254757,30,6.605525
-226.665392,30,6.633451
-83.156229,30,6.660378
-55.809214,30,6.687307
-64.597713,30,6.714235
-82.773206,30,6.741163
-60.242381,30,6.76809
-62.408352,30,6.795017
-28.426023,30,6.821947
-103.850019,30,6.848888
-43.997536,30,6.875803
-72.438799,30,6.90273
-255.887641,30,6.929659
-56.486531,30,6.956587
-122.691128,30,6.984533
-185.382814,30,7.011441
-105.090561,30,7.038518
-142.482947,30,7.066444
-171.76932,30,7.093372
-45.693142,30,7.121317
-52.337699,30,7.149222
-28.875301,30,7.178145
-87.724697,30,7.206101
-94.856025,30,7.23401
-92.851514,30,7.260923
-56.649359,30,7.287851
-47.028207,30,7.314779
-64.127729,30,7.341707
-63.184651,30,7.369632
-110.405747,30,7.396584
-382.672494,30,7.423512
-95.823293,30,7.45044
-45.478578,30,7.47637
-124.550138,30,7.503299
-89.795236,30,7.530226
-80.822012,30,7.557179
-134.816347,30,7.583086
-80.040142,30,7.610014
-42.131135,30,7.636941
-137.722409,30,7.66387
-113.542059,30,7.689806
-131.982292,30,7.716727
-28.088287,30,7.74368
-170.865166,30,7.771581
-38.028916,30,7.799537
-109.854414,30,7.826434
-159.313984,30,7.854385
-55.694123,30,7.881295
-47.419309,30,7.909245
-104.410852,30,7.936162
-138.703877,30,7.96307
-103.253212,30,7.99101
-63.494753,30,8.017923
-193.794172,30,8.04485
-60.202597,30,8.072776
-58.072778,30,8.100702
-164.54315,30,8.128627
-47.072209,30,8.157548
-82.000271,30,8.366988
-352.922413,30,8.398032
-82.060639,30,8.427952
-72.571481,30,8.456874
-27.684813,30,8.486795
-221.095013,30,8.517712
-76.210992,30,8.548629
-42.68919,30,8.577552
-30.697209,30,8.605478
-60.830899,30,8.632418
-156.388516,30,8.660331
-52.904803,30,8.687259
-45.684243,30,8.71319
-56.650661,30,8.740119
-30.639158,30,8.767047
-79.732804,30,8.793975
-101.382821,30,8.820902
-161.9066,30,8.847859
-31.244637,30,8.874758
-90.692363,30,8.901687
-62.746746,30,8.930608
-95.290917,30,8.957567
-74.487951,30,8.985462
-86.287305,30,9.012391
-60.049602,30,9.041129
-124.42666,30,9.069427
-292.563411,30,9.098117
-77.349297,30,9.127408
-146.867441,30,9.155307
-70.052491,30,9.183228
-110.671047,30,9.21215
-168.240652,30,9.240076
-87.439392,30,9.268001
-45.454772,30,9.295926
-44.453637,30,9.323851
-21.873406,30,9.351784
-54.57344,30,9.380096
-82.234656,30,9.407611
-167.900276,30,9.43657
-48.854473,30,9.464465
-28.866468,30,9.492404
