#{"t_start": 1651711256.6891565, "env_id": null}
r,l,t
-135.334476,15,0.031245
-43.494748,15,0.031245
-150.199952,15,0.046868
-62.734617,15,0.062488
-103.215188,15,0.078108
-20.903209,15,0.100234
-35.178889,15,0.115858
-252.720975,15,0.115858
-43.73459,15,0.131478
-44.030031,15,0.1471
-46.071653,15,0.162722
-96.483575,15,0.178344
-149.154511,15,0.193964
-265.838852,15,0.200469
-58.814762,15,0.216094
-79.449414,15,0.231715
-55.228972,15,0.247338
-35.755413,15,0.262958
-146.244818,15,0.278588
-56.134413,15,0.294201
-89.486051,15,0.300705
-109.10298,15,0.316329
-20.99912,15,0.331952
-244.004991,15,0.347573
-59.102769,15,0.363219
-98.248715,15,0.378831
-76.034717,15,0.378831
-75.84931,15,0.40094
-122.977552,15,0.416564
-234.953873,15,0.432185
-188.020438,15,0.447807
-233.504146,15,0.447807
-155.242775,15,0.463427
-373.390153,15,0.479048
-126.865458,15,0.501174
-60.730172,15,0.516798
-106.164913,15,0.516798
-136.90385,15,0.532419
-106.712833,15,0.548041
-35.894965,15,0.563662
-84.557353,15,0.579294
-137.005792,15,0.594905
-65.99842,15,0.601409
-65.137141,15,0.617034
-43.2436,15,0.632655
-230.963803,15,0.648283
-393.982019,15,0.663902
-64.89695,15,0.679518
-197.820794,15,0.69514
-17.826149,15,0.701644
-342.716011,15,0.717277
-377.90473,15,0.732889
-56.880526,15,0.748511
-449.336774,15,0.764132
-524.946032,15,0.779777
-187.691234,15,0.779777
-57.055165,15,0.801899
-71.126185,15,0.817524
-73.755773,15,0.833144
-89.494671,15,0.848766
-152.444559,15,0.848766
-45.839533,15,0.864387
-131.514911,15,0.880009
-180.210217,15,0.902166
-28.781469,15,0.914283
-81.990991,15,0.924312
-71.983073,15,0.934494
-294.151094,15,0.952564
-75.770707,15,0.962598
-153.977851,15,0.974698
-104.572455,15,0.982713
-102.220973,15,1.00285
-136.444851,15,1.014905
-509.752415,15,1.024933
-103.460437,15,1.043113
-111.025491,15,1.055192
-40.359004,15,1.065222
-48.121936,15,1.075303
-173.156903,15,1.095397
-149.965305,15,1.105424
-267.41517,15,1.115515
-38.239076,15,1.133641
-115.395115,15,1.145684
-133.771134,15,1.155774
-212.919227,15,1.165802
-13.234915,15,1.183934
-173.455706,15,1.196079
-98.530669,15,1.206137
-78.847784,15,1.216221
-146.673136,15,1.234326
-135.80975,15,1.24637
-83.991913,15,1.256438
-52.57812,15,1.266489
-183.894367,15,1.286595
-77.054156,15,1.296708
-284.647212,15,1.304722
-70.121622,15,1.324862
-191.595486,15,1.336915
-53.275146,15,1.346943
-127.139143,15,1.365005
-151.935751,15,1.377078
-133.265638,15,1.388171
-162.590802,15,1.405328
-74.231072,15,1.417369
-98.94546,15,1.427497
-64.699644,15,1.438261
-71.430751,15,1.456389
-86.243638,15,1.468472
-92.536845,15,1.478559
-123.889197,15,1.488589
-193.52011,15,1.506696
-34.684812,15,1.518763
-56.482984,15,1.528791
-76.953461,15,1.538858
-56.443067,15,1.559036
-21.131159,15,1.569064
-333.981361,15,1.579151
-764.009726,15,1.597217
-82.375218,15,1.60929
-64.089991,15,1.619345
-36.940727,15,1.629375
-143.807155,15,1.647445
-135.616216,15,1.659513
-33.417932,15,1.669541
-140.978508,15,1.679635
-223.382846,15,1.697739
-50.082677,15,1.709781
-55.625493,15,1.719839
-239.717442,15,1.729872
-164.49254,15,1.750064
-131.071891,15,1.760156
-197.387558,15,1.770185
-261.975339,15,1.788255
-143.585356,15,1.800358
-126.19674,15,1.810386
-70.663952,15,1.820482
-54.027597,15,2.009848
-49.064728,15,2.022043
-176.714324,15,2.032238
-19.702574,15,2.052331
-20.88073,15,2.06237
-58.619984,15,2.080465
-140.310196,15,2.09251
-100.990496,15,2.110627
-99.335846,15,2.122745
-127.386406,15,2.132794
-178.003427,15,2.150997
-62.817341,15,2.163222
-106.313038,15,2.173393
-25.205471,15,2.191528
-56.443615,15,2.203638
-44.38834,15,2.21367
-47.145953,15,2.223728
-116.27591,15,2.243849
-137.081934,15,2.253876
-22.012984,15,2.263974
-42.700816,15,2.274003
-117.351132,15,2.294198
-268.171016,15,2.304285
-121.870661,15,2.322389
-93.19744,15,2.334468
-81.542222,15,2.344532
-221.091474,15,2.362593
-56.213794,15,2.374638
-96.401235,15,2.38469
-14.497729,15,2.402759
-46.515824,15,2.414848
-64.301766,15,2.425038
-339.292467,15,2.435077
-71.329913,15,2.453183
-114.016953,15,2.465358
-68.129838,15,2.475386
-27.789235,15,2.485439
-288.770782,15,2.503507
-63.442698,15,2.515549
-95.073257,15,2.525635
-146.330359,15,2.535665
-115.917651,15,2.55378
-31.502544,15,2.565847
-322.193134,15,2.575875
-11.156406,15,2.585928
-47.787475,15,2.604011
-146.789428,15,2.616093
-48.185306,15,2.626151
-144.956738,15,2.634166
-275.676407,15,2.656473
-220.476974,15,2.666595
-114.275175,15,2.676626
-66.541579,15,2.694699
-36.699056,15,2.706804
-135.005253,15,2.716833
-84.422747,15,2.726925
-184.92639,15,2.747094
-244.760498,15,2.757122
-74.743448,15,2.767212
-95.457563,15,2.777241
-152.396686,15,2.797361
-82.791564,15,2.80742
-180.207012,15,2.817449
-202.667714,15,2.83552
-69.939119,15,2.847674
-119.871547,15,2.857705
-23.151077,15,2.867797
-38.759745,15,2.885934
-130.103611,15,2.897977
-59.168424,15,2.908045
-80.851239,15,2.918074
-99.907689,15,2.936228
-159.97989,15,2.948308
-150.498429,15,2.958337
-95.11198,15,2.968389
-62.527253,15,2.988508
-78.694605,15,2.998536
-49.051432,15,3.008639
-25.411728,15,3.026697
-101.69479,15,3.03874
-46.620354,15,3.048805
-165.56862,15,3.058833
-31.935943,15,3.076993
-120.079194,15,3.089093
-81.079986,15,3.099122
-88.663017,15,3.109175
-61.422399,15,3.129291
-270.747683,15,3.139359
-285.310878,15,3.149426
-192.060299,15,3.167534
-148.642146,15,3.17958
-79.090147,15,3.189669
-108.025068,15,3.197683
-425.369357,15,3.217751
-300.298634,15,3.229841
-278.41841,15,3.237854
-267.038219,15,3.257956
-152.049796,15,3.27001
-61.385722,15,3.278024
-48.788673,15,3.29809
-137.660808,15,3.310188
-31.824342,15,3.328297
-171.195986,15,3.338375
-71.679909,15,3.35047
-409.316684,15,3.368559
-587.39262,15,3.378588
-101.512025,15,3.390644
-97.386096,15,3.410698
-250.42504,15,3.418712
-29.446388,15,3.430801
-56.832335,15,3.45085
-73.119836,15,3.458864
-74.159817,15,3.470904
-65.701806,15,3.490969
-106.55329,15,3.498983
-671.771761,15,3.519051
-37.634686,15,3.531115
-75.456244,15,3.539128
-73.705887,15,3.559232
-94.412659,15,3.571373
-158.061697,15,3.579388
-33.708839,15,3.599561
-27.589102,15,3.611662
-79.906479,15,3.619676
-53.603235,15,3.639785
-89.625189,15,3.651845
-43.99174,15,3.659858
-72.340497,15,3.679979
-133.946896,15,3.692066
-225.961107,15,3.700105
-73.219664,15,3.720171
-131.25906,15,3.732277
-28.052668,15,3.740291
-264.297772,15,3.760339
-60.770793,15,3.772384
-111.752219,15,3.780397
-35.549661,15,3.800442
-32.952994,15,3.993989
-94.902917,15,4.002028
-64.843671,15,4.022147
-106.39097,15,4.034243
-161.56338,15,4.042285
-103.528211,15,4.062406
-102.983339,15,4.074487
-55.420768,15,4.092576
-99.730313,15,4.102657
-39.319606,15,4.114736
-119.009042,15,4.134857
-83.933863,15,4.142895
-65.932874,15,4.163014
-35.75566,15,4.175105
-15.683339,15,4.195171
-69.043461,15,4.203182
-182.542505,15,4.223297
-86.615037,15,4.235376
-94.913189,15,4.243392
-58.970801,15,4.263499
-178.591851,15,4.275611
-105.694735,15,4.283626
-93.181383,15,4.303717
-154.649956,15,4.315929
-60.67177,15,4.323944
-39.730908,15,4.344045
-66.59402,15,4.356148
-83.689087,15,4.364162
-24.199522,15,4.38423
-49.780781,15,4.396685
-73.016695,15,4.416737
-374.907194,15,4.424751
-86.114527,15,4.436797
-141.291439,15,4.457039
-58.03433,15,4.465052
-57.05948,15,4.485128
-123.59914,15,4.497174
-31.926199,15,4.505204
-186.39127,15,4.525295
-43.3132,15,4.537348
-167.293962,15,4.545362
-35.417868,15,4.565465
-78.008356,15,4.577538
-167.5505,15,4.585551
-427.777953,15,4.605643
-59.039914,15,4.617735
-174.677807,15,4.635844
-37.865755,15,4.64587
-70.009019,15,4.657924
-302.64292,15,4.676306
-30.83825,15,4.686358
-44.240034,15,4.698555
-55.869535,15,4.718626
-70.927668,15,4.72666
-92.838593,15,4.746742
-109.581336,15,4.758806
-60.15446,15,4.766819
-320.072404,15,4.786988
-89.597928,15,4.799041
-16.0252,15,4.807055
-97.232091,15,4.827121
-151.901989,15,4.839178
-48.150724,15,4.847192
-29.493551,15,4.86726
-40.330688,15,4.879313
-55.641136,15,4.887349
-126.18025,15,4.907447
-71.024179,15,4.919541
-71.323115,15,4.937597
-80.044797,15,4.947623
-62.502103,15,4.959674
-51.71196,15,4.979768
-60.857414,15,4.987783
-126.368759,15,4.999839
-174.440702,15,5.019903
-43.577604,15,5.027934
-63.926913,15,5.040024
-103.189199,15,5.060346
-228.678455,15,5.068361
-52.381757,15,5.088434
-57.4667,15,5.100513
-230.07834,15,5.108528
-142.844224,15,5.128644
-126.106331,15,5.14068
-18.539476,15,5.148705
-43.6956,15,5.168815
-84.293973,15,5.180886
-135.386813,15,5.198956
-173.297481,15,5.208998
-131.974139,15,5.22104
-39.132042,15,5.23912
-43.153989,15,5.24915
-41.628541,15,5.261187
-54.532323,15,5.279248
-47.260724,15,5.289279
-31.855151,15,5.301314
-34.936118,15,5.321417
-53.820448,15,5.329431
-68.126051,15,5.341521
-11.294295,15,5.361641
-59.609201,15,5.369654
-76.442084,15,5.38173
-242.10748,15,5.401822
-83.885284,15,5.409836
-78.049503,15,5.421873
-773.852737,15,5.441948
-63.262291,15,5.449989
-243.120481,15,5.470063
-66.47372,15,5.482247
-65.674257,15,5.49026
-250.044961,15,5.510323
-219.567261,15,5.522405
-114.74771,15,5.530451
-84.912518,15,5.55056
-79.052999,15,5.562618
-94.397017,15,5.570632
-36.47191,15,5.590705
-60.055034,15,5.602782
-52.35303,15,5.610795
-80.861886,15,5.630903
-131.944166,15,5.643018
-120.190356,15,5.651061
-153.417142,15,5.671375
-36.991356,15,5.683467
-143.917109,15,5.691481
-13.193281,15,5.711581
-144.993215,15,5.723646
-428.667552,15,5.741697
-137.505561,15,5.751727
-419.474044,15,5.763805
-170.846745,15,5.781861
-143.605556,15,5.791889
-47.278756,15,5.803945
-57.39085,15,5.822009
-33.196826,15,5.832037
-390.157162,15,5.8441
-70.5918,15,6.035728
-55.269426,15,6.055891
-25.765682,15,6.065974
-40.820172,15,6.086137
-102.288523,15,6.096219
-27.263855,15,6.106297
-76.142892,15,6.126451
-58.753973,15,6.136483
-55.752841,15,6.156596
-83.941937,15,6.166672
-235.013831,15,6.186866
-22.331174,15,6.196913
-243.307234,15,6.206976
-61.776956,15,6.22704
-168.87811,15,6.237084
-22.912291,15,6.25516
-35.832682,15,6.267237
-49.737913,15,6.275252
-70.678401,15,6.295434
-10.360621,15,6.30754
-138.412905,15,6.317568
-15.864773,15,6.32767
-183.470762,15,6.345752
-32.360528,15,6.357808
-143.634479,15,6.367903
-23.058399,15,6.377934
-61.233296,15,6.398039
-107.728673,15,6.408129
-175.596654,15,6.418173
-165.217851,15,6.436223
-124.109137,15,6.448284
-123.896641,15,6.458313
-80.211793,15,6.468351
-103.469995,15,6.488478
-46.546543,15,6.498536
-71.028497,15,6.508605
-177.118985,15,6.526712
-32.13439,15,6.538754
-81.640214,15,6.548809
-296.908256,15,6.558848
-533.836265,15,6.576897
-66.128422,15,6.588982
-76.876939,15,6.599016
-79.66903,15,6.609108
-31.951711,15,6.62923
-168.341578,15,6.639277
-198.175062,15,6.649368
-29.214181,15,6.667476
-53.64724,15,6.679571
-63.674855,15,6.68968
-61.748038,15,6.699709
-492.836372,15,6.717828
-59.128359,15,6.729898
-220.364112,15,6.739927
-55.050753,15,6.750016
-44.417153,15,6.770176
-49.194135,15,6.780203
-153.752588,15,6.790281
-117.227433,15,6.80031
-17.705297,15,6.820399
-46.658772,15,6.830453
-129.403261,15,6.84048
-275.085336,15,6.85858
-38.618234,15,6.871346
-29.132221,15,6.881379
-73.485251,15,6.891491
-467.223431,15,6.909606
-171.968344,15,6.921649
-245.101511,15,6.93179
-118.592912,15,6.941821
-72.32935,15,6.959936
-55.163597,15,6.972018
-54.671469,15,6.982066
-37.094495,15,6.992138
-38.49013,15,7.012199
-103.142496,15,7.022245
-61.269451,15,7.03228
-42.172379,15,7.050392
-14.222652,15,7.062455
-112.643061,15,7.072554
-149.217992,15,7.090652
-666.202757,15,7.102695
-148.405702,15,7.112786
-30.19294,15,7.122813
-79.691435,15,7.140918
-64.167669,15,7.15299
-49.135237,15,7.163019
-81.842421,15,7.173147
-20.625208,15,7.193232
-162.328612,15,7.203265
-130.701733,15,7.213355
-63.212313,15,7.231424
-144.545327,15,7.243466
-49.737847,15,7.253537
-92.34744,15,7.263564
-119.637911,15,7.281671
-54.24406,15,7.293739
-70.97222,15,7.303768
-75.654166,15,7.313843
-89.637259,15,7.331949
-32.708876,15,7.344008
-4.430259,15,7.3541
-39.258805,15,7.362114
-42.613517,15,7.384236
-123.901912,15,7.394306
-26.509358,15,7.404336
-36.525762,15,7.424449
-49.269206,15,7.434498
-132.693416,15,7.444526
-56.964336,15,7.462605
-50.433216,15,7.474681
-95.362458,15,7.48471
-40.373569,15,7.494795
-148.770237,15,7.514907
-358.018884,15,7.522922
-43.075786,15,7.534991
-56.50811,15,7.553058
-84.734407,15,7.5651
-38.302079,15,7.575157
-51.353721,15,7.585226
-48.541908,15,7.603276
-104.455688,15,7.61534
-135.404529,15,7.625379
-60.241042,15,7.63543
-32.096193,15,7.655565
-97.371762,15,7.665593
-86.054758,15,7.675657
-43.254892,15,7.693736
-235.251183,15,7.705779
-51.889344,15,7.71587
-40.099835,15,7.723886
-77.512092,15,7.743955
-36.624303,15,7.75614
-81.004028,15,7.766167
-113.295733,15,7.776311
-33.956799,15,7.796393
-91.280383,15,7.806423
-90.765424,15,7.988112
-40.027894,15,8.006198
-35.363023,15,8.018332
-245.114704,15,8.02841
-57.239322,15,8.046525
-161.573915,15,8.058654
-45.083093,15,8.068737
-67.159456,15,8.086892
-115.063099,15,8.099016
-16.737129,15,8.109063
-404.473736,15,8.127276
-67.921742,15,8.139513
-39.421454,15,8.14961
-56.113577,15,8.167836
-38.657219,15,8.179952
-57.862065,15,8.187966
-76.284532,15,8.208039
-147.07197,15,8.220119
-54.520286,15,8.228134
-60.745683,15,8.248276
-128.63705,15,8.260335
-71.74401,15,8.26835
-187.457238,15,8.288445
-53.241402,15,8.300522
-33.95624,15,8.310549
-66.185291,15,8.330662
-93.95945,15,8.340718
-100.222976,15,8.358803
-43.719505,15,8.368843
-51.212449,15,8.380991
-87.200175,15,8.401066
-514.986334,15,8.409081
-93.188134,15,8.421116
-52.201643,15,8.441162
-70.801925,15,8.449176
-201.894261,15,8.461222
-43.356142,15,8.481293
-33.261426,15,8.491334
-44.552673,15,8.501392
-60.523994,15,8.521488
-87.394714,15,8.531516
-50.876945,15,8.549585
-205.722339,15,8.56167
-79.363195,15,8.569684
-47.982981,15,8.589733
-7.144303,15,8.60183
-90.497731,15,8.609843
-39.591818,15,8.629891
-64.152349,15,8.641929
-22.835055,15,8.649971
-338.187238,15,8.670032
-143.85669,15,8.682099
-108.785487,15,8.690145
-276.750038,15,8.710228
-76.155098,15,8.7223
-28.027507,15,8.730314
-40.714399,15,8.750454
-81.320212,15,8.762547
-70.950138,15,8.780602
-55.340415,15,8.790651
-143.20696,15,8.802716
-71.143796,15,8.820806
-67.637483,15,8.830916
-530.525818,15,8.842978
-86.18776,15,8.861072
-42.887712,15,8.871172
-59.577611,15,8.883264
-76.16784,15,8.903346
-42.307314,15,8.911368
-18.665571,15,8.923486
-26.106603,15,8.94361
-36.219402,15,8.953654
-60.622525,15,8.963739
-22.628937,15,8.983835
-201.597165,15,8.993864
-46.494684,15,9.003958
-296.764234,15,9.022029
-73.474478,15,9.034154
-39.157161,15,9.042225
-65.404973,15,9.052233
-112.577431,15,9.067878
-36.896698,15,9.083478
-38.569495,15,9.099101
-69.258859,15,9.114721
-89.127206,15,9.130342
-112.203956,15,9.152469
-16.592005,15,9.152469
-74.050152,15,9.168092
-78.442715,15,9.183728
-48.283973,15,9.199337
-23.88466,15,9.214965
-64.553438,15,9.230578
-32.332648,15,9.230578
-66.061172,15,9.252704
-135.55169,15,9.268332
-48.450802,15,9.283949
-57.675009,15,9.299571
-20.584344,15,9.315193
-164.303774,15,9.330831
-137.569628,15,9.346435
-33.891703,15,9.352939
-66.264332,15,9.368563
-171.324951,15,9.384184
-119.449333,15,9.399817
-109.642186,15,9.415428
-22.76047,15,9.431047
-36.812259,15,9.446669
-53.191363,15,9.453172
-25.740425,15,9.468796
-76.443185,15,9.484419
-60.770467,15,9.50004
-35.637736,15,9.50004
-216.258942,15,9.51566
-28.332562,15,9.531281
-36.06186,15,9.553407
-129.863417,15,9.553407
-49.415778,15,9.569048
-63.321917,15,9.584653
-65.259271,15,9.600274
-69.070093,15,9.615895
-41.623257,15,9.631537
-53.518216,15,9.653668
-66.91203,15,9.669292
-8.074655,15,9.684913
-40.652888,15,9.700535
-36.736529,15,9.700535
-192.98798,15,9.716155
-57.677762,15,9.731779
-160.265236,15,9.75393
