#{"t_start": 1651711666.9778876, "env_id": null}
r,l,t
-148.209128,30,0.031242
-105.58935,30,0.062485
-181.902373,30,0.084611
-232.134759,30,0.115855
-105.663821,30,0.147099
-104.687028,30,0.184846
-112.937642,30,0.216091
-108.590106,30,0.231713
-61.380952,30,0.262955
-281.77854,30,0.28508
-85.82792,30,0.316325
-37.767246,30,0.347568
-87.295227,30,0.378811
-101.929231,30,0.40094
-78.407787,30,0.432183
-130.301146,30,0.463432
-139.470842,30,0.48557
-74.548315,30,0.516815
-103.960681,30,0.532436
-71.563241,30,0.563708
-119.883653,30,0.585804
-131.014233,30,0.61705
-92.94343,30,0.648292
-446.134452,30,0.679535
-91.384746,30,0.701663
-166.745187,30,0.732906
-120.715014,30,0.764154
-620.858182,30,0.786282
-53.738974,30,0.801905
-61.129281,30,0.833148
-105.478846,30,0.864413
-85.469411,30,0.886517
-64.378671,30,0.917763
-152.324963,30,0.933384
-168.643232,30,0.964626
-259.981696,30,0.998867
-207.659321,30,1.02717
-116.612972,30,1.057471
-39.66109,30,1.087702
-92.589101,30,1.109804
-114.043582,30,1.139958
-121.573779,30,1.160023
-142.311703,30,1.190204
-138.984949,30,1.220319
-68.698406,30,1.240448
-27.768216,30,1.270562
-109.695545,30,1.290681
-669.065137,30,1.320853
-124.229432,30,1.349165
-129.74303,30,1.371262
-105.573074,30,1.399519
-49.122632,30,1.421645
-143.914184,30,1.45179
-120.036141,30,1.471872
-120.258829,30,1.502124
-152.147878,30,1.530239
-113.714575,30,1.552376
-40.235787,30,1.582546
-287.3756,30,1.602656
-137.01697,30,1.632789
-72.694811,30,1.652916
-86.84824,30,1.683125
-140.836895,30,1.711221
-54.131986,30,1.733331
-340.919024,30,1.761564
-197.943326,30,1.783776
-374.949187,30,1.811886
-117.347366,30,1.833981
-109.530264,30,2.045371
-134.252565,30,2.075613
-41.003334,30,2.105849
-149.739365,30,2.134039
-116.933067,30,2.156205
-57.286664,30,2.186411
-76.463448,30,2.216629
-54.038716,30,2.244747
-290.406429,30,2.266864
-99.298748,30,2.297018
-143.70585,30,2.317121
-241.068582,30,2.347333
-151.820126,30,2.367414
-206.325853,30,2.397637
-161.003235,30,2.425799
-75.592645,30,2.447933
-293.915288,30,2.476031
-91.416203,30,2.498136
-163.338395,30,2.526338
-155.969234,30,2.548621
-133.605113,30,2.578786
-128.216148,30,2.598931
-92.564316,30,2.629236
-149.22496,30,2.65767
-107.583246,30,2.6798
-107.450892,30,2.709984
-169.808541,30,2.738152
-131.271592,30,2.760329
-444.932609,30,2.79053
-72.269834,30,2.818662
-155.297003,30,2.840762
-123.164925,30,2.870934
-148.739859,30,2.899059
-150.514127,30,2.919127
-113.165578,30,2.95129
-76.370771,30,2.979454
-100.281024,30,3.009564
-123.207972,30,3.031682
-193.186867,30,3.059767
-23.62242,30,3.091955
-142.053235,30,3.112078
-78.206393,30,3.140177
-232.806678,30,3.172489
-237.385609,30,3.200588
-209.944583,30,3.220659
-97.994282,30,3.252808
-159.164172,30,3.280926
-167.078955,30,3.301002
-75.608782,30,3.333163
-121.556495,30,3.361343
-88.043575,30,3.393583
-119.565834,30,3.42177
-248.870414,30,3.441959
-255.536559,30,3.474141
-54.439108,30,3.502312
-230.957022,30,3.534576
-70.970709,30,3.562837
-212.803542,30,3.583008
-142.286955,30,3.615263
-169.268302,30,3.643528
-183.621644,30,3.675743
-110.054217,30,3.703992
-61.766017,30,3.724215
-83.759557,30,3.756626
-123.638761,30,3.784746
-54.146233,30,3.81695
-169.878248,30,3.845152
-155.251255,30,3.865265
-73.652762,30,4.099595
-57.825266,30,4.12775
-127.922675,30,4.159942
-280.037692,30,4.188111
-54.249754,30,4.218244
-56.179385,30,4.240451
-67.052877,30,4.268605
-66.438118,30,4.300765
-104.268576,30,4.328866
-145.554002,30,4.361192
-100.092165,30,4.381299
-78.641983,30,4.409415
-113.256571,30,4.441516
-40.141233,30,4.461651
-49.215965,30,4.489746
-69.778018,30,4.521884
-303.295892,30,4.549995
-107.313189,30,4.570129
-120.236745,30,4.602319
-107.130897,30,4.630425
-122.172229,30,4.652698
-146.627372,30,4.682874
-248.090602,30,4.710971
-185.365499,30,4.741056
-155.195341,30,4.763177
-158.679477,30,4.79124
-120.2543,30,4.823386
-119.2292,30,4.851477
-98.351083,30,4.871537
-422.639587,30,4.903711
-55.271451,30,4.931849
-101.686264,30,4.96272
-66.636893,30,4.984319
-109.943819,30,5.012416
-128.107685,30,5.044533
-130.878442,30,5.06461
-146.644356,30,5.092705
-158.088347,30,5.124842
-84.476209,30,5.152922
-104.459451,30,5.172991
-67.34614,30,5.205146
-169.042067,30,5.233237
-91.264705,30,5.263346
-36.341911,30,5.285446
-56.226123,30,5.313552
-62.724737,30,5.343701
-46.25863,30,5.365848
-79.134499,30,5.39397
-74.488812,30,5.426138
-59.18431,30,5.446196
-58.961038,30,5.474308
-81.730328,30,5.506481
-57.123618,30,5.534583
-136.086951,30,5.554648
-103.059272,30,5.586778
-176.446597,30,5.614868
-106.328854,30,5.634998
-111.293719,30,5.667255
-156.620479,30,5.697357
-96.089226,30,5.715475
-94.777513,30,5.746722
-142.119286,30,5.777962
-90.461293,30,5.793584
-182.981187,30,5.831348
-140.82773,30,5.846985
-161.938502,30,5.878197
-95.472464,30,5.909443
-100.38522,30,5.931594
-88.227455,30,6.138673
-114.33652,30,6.168926
-92.157042,30,6.189177
-112.533889,30,6.219384
-137.394786,30,6.257602
-210.388444,30,6.279844
-79.135612,30,6.310111
-152.319106,30,6.340245
-51.724321,30,6.360326
-72.518994,30,6.390555
-40.48436,30,6.418699
-73.501657,30,6.440818
-174.449611,30,6.470986
-139.714372,30,6.491066
-30.792416,30,6.521215
-149.450651,30,6.541332
-149.603467,30,6.571487
-128.182263,30,6.599588
-97.924995,30,6.621742
-39.596829,30,6.649976
-169.028629,30,6.672095
-90.056484,30,6.700179
-160.016043,30,6.722291
-142.786641,30,6.752515
-48.621111,30,6.772455
-136.938678,30,6.802585
-155.690466,30,6.830739
-105.03454,30,6.852906
-85.39876,30,6.883143
-94.484577,30,6.903296
-69.907058,30,6.93347
-37.250089,30,6.961604
-28.911489,30,6.983776
-97.632406,30,7.013937
-120.238276,30,7.03401
-83.466699,30,7.064219
-153.476621,30,7.094322
-55.729393,30,7.114386
-96.943707,30,7.144557
-52.722366,30,7.16467
-162.628164,30,7.194843
-250.840638,30,7.222976
-57.650145,30,7.245187
-72.517369,30,7.275308
-269.854452,30,7.295422
-125.320603,30,7.325624
-68.836784,30,7.34572
-57.147215,30,7.376068
-132.723908,30,7.3962
-93.159429,30,7.426314
-49.993407,30,7.446435
-25.099439,30,7.476594
-57.125776,30,7.50474
-30.531627,30,7.526875
-204.695529,30,7.555082
-56.461764,30,7.577181
-143.166214,30,7.607312
-95.59068,30,7.625417
-72.801729,30,7.657689
-44.691396,30,7.68578
-107.349143,30,7.70788
-158.025031,30,7.736049
