Number of Episodes,Rewards
1500,-143.94811138
1530,-143.09539030000002
1560,-141.96605594000002
1590,-141.20629216000003
1620,-138.96431980000003
1650,-139.25621996
1680,-140.20543696
1710,-140.22097562
1740,-138.85388924000003
1770,-143.37378220000002
1800,-140.47855080000002
1830,-140.21588862000002
1860,-141.1975085
1890,-142.26834186
1920,-141.31239696
1950,-146.56262170000002
1980,-147.9154653
2010,-152.62503219999996
2040,-153.48101322000002
2070,-153.59240488
2100,-154.84619136
2130,-153.26858497999999
2160,-153.64308762000002
2190,-154.12288035999998
2220,-146.3459246
2250,-146.04749864
2280,-143.79336922
2310,-147.18719751999998
2340,-136.75600884
2370,-138.55534636000002
2400,-142.15413238000002
2430,-143.08095797999997
2460,-145.49808681999997
2490,-147.4305781
2520,-145.89593174
2550,-148.40137285999998
2580,-145.03006299999998
2610,-144.14364448
2640,-144.93076972
2670,-146.80965018
2700,-147.52219112
2730,-147.0926058
2760,-147.64562941999998
2790,-146.95106027999998
2820,-146.32037914000003
2850,-148.34258184000004
2880,-150.41264936000002
2910,-157.11739064
2940,-145.18148458
2970,-145.80283599999999
3000,-145.6712739
3030,-146.5346096
3060,-148.56243949999998
3090,-147.94746738
3120,-147.07415998000002
3150,-146.67460388
3180,-146.09580576000002
3210,-147.68525160000002
3240,-147.35298426
3270,-144.44653696
3300,-143.27032542000003
3330,-146.47256276000002
3360,-149.48331014000001
3390,-150.8654639
3420,-151.74270982000002
3450,-148.10761278
3480,-147.49032535999999
3510,-141.50351726
3540,-141.58769984
3570,-141.15796606
3600,-140.86423144
3630,-145.02157304
3660,-147.13751692
3690,-145.88763773999997
3720,-149.3610449
3750,-149.25119012
3780,-152.42648663999998
3810,-149.46409716
3840,-150.86348824000004
3870,-151.66180412000003
3900,-149.04151682
3930,-147.24043464000002
3960,-144.78910872000003
3990,-144.04181924000002
4020,-143.61289100000002
4050,-141.1321502
4080,-142.40885124000002
4110,-140.61513858000004
4140,-138.65225922000002
4170,-138.53861046000003
4200,-141.57504134000004
4230,-140.80875010000003
4260,-138.94783859999998
4290,-138.13723122000002
4320,-137.31697574000003
4350,-136.00617644000002
4380,-136.29182464
4410,-129.39501576
4440,-129.52245874000002
4470,-128.68165009999998
4500,-127.02117625999999
4530,-125.03069837999999
4560,-123.4159762
4590,-127.21858248000001
4620,-127.83743084
4650,-128.23654525999999
4680,-127.91500375999998
4710,-126.494711
4740,-128.95481004
4770,-131.07555738
4800,-133.2187395
4830,-131.66651276
4860,-130.09239012
4890,-128.29858446
4920,-128.72328282
4950,-127.50702104000001
4980,-132.61823368
5010,-132.21148706
5040,-131.81408244
5070,-131.3859488
5100,-131.1935085
5130,-128.77825392000003
5160,-126.28509158
5190,-128.12919654
5220,-126.67182304
5250,-126.94193304000001
5280,-124.77505122000001
5310,-123.27623492000001
5340,-123.27171022000002
5370,-121.42457144
5400,-119.95032532
