#{"t_start": 1651952592.211159, "env_id": null}
r,l,t
-103.459158,30,0.033346
-132.385473,30,0.05828
-126.249853,30,0.082216
-370.020568,30,0.109145
-148.679699,30,0.136072
-80.257556,30,0.161006
-84.654663,30,0.185938
-405.640507,30,0.210872
-138.329774,30,0.236803
-92.442014,30,0.262734
-136.651572,30,0.28667
-300.297651,30,0.311604
-91.054644,30,0.336537
-236.049403,30,0.36147
-52.632242,30,0.386404
-174.092538,30,0.411339
-80.893724,30,0.435273
-119.682027,30,0.460206
-205.158842,30,0.485141
-321.385102,30,0.509254
-227.232261,30,0.534188
-81.206728,30,0.558147
-107.154211,30,0.583057
-362.815203,30,0.608014
-182.698188,30,0.633921
-136.95027,30,0.658854
-109.061561,30,0.683788
-115.527873,30,0.709718
-229.391659,30,0.734075
-163.13008,30,0.759001
-368.374128,30,0.783933
-225.09619,30,0.808887
-187.835168,30,0.833801
-166.470485,30,0.858733
-79.108554,30,0.88267
-242.717638,30,0.907602
-154.198353,30,0.931538
-58.974286,30,0.955474
-250.786357,30,0.979411
-131.438524,30,1.003347
-173.033362,30,1.028925
-101.156128,30,1.052861
-199.931183,30,1.076797
-62.028658,30,1.100734
-154.224278,30,1.124669
-238.453637,30,1.148606
-174.425254,30,1.174535
-290.421309,30,1.199469
-171.837066,30,1.223405
-93.966269,30,1.247341
-153.434021,30,1.271277
-334.832254,30,1.295213
-123.217927,30,1.319149
-99.765033,30,1.343085
-343.898832,30,1.367021
-293.933618,30,1.390957
-99.741775,30,1.414892
-162.425204,30,1.438828
-165.722515,30,1.462764
-292.306627,30,1.4867
-82.438312,30,1.510636
-155.458106,30,1.533575
-46.103127,30,1.557511
-110.776541,30,1.581446
-118.000846,30,1.605383
-150.355781,30,1.629318
-118.351862,30,1.653255
-164.487587,30,1.676208
-212.853118,30,1.884636
-102.80465,30,1.911563
-307.442734,30,1.937494
-170.469094,30,1.970406
-172.384601,30,2.000326
-236.096619,30,2.030254
-204.7219,30,2.060174
-46.772699,30,2.086106
-75.855522,30,2.112037
-179.2146,30,2.13697
-43.904987,30,2.161904
-101.115576,30,2.187833
-114.429287,30,2.212766
-46.885858,30,2.237701
-77.439704,30,2.261637
-114.068849,30,2.285573
-316.50363,30,2.309509
-67.135457,30,2.333445
-108.753502,30,2.35738
-181.645306,30,2.381316
-90.338208,30,2.405252
-109.730305,30,2.429188
-144.15474,30,2.453123
-101.570821,30,2.47706
-87.676596,30,2.500995
-130.909897,30,2.526927
-93.720327,30,2.550863
-178.301638,30,2.574799
-84.256396,30,2.598735
-220.032286,30,2.622671
-155.911156,30,2.64561
-75.29066,30,2.669546
-193.938354,30,2.693482
-153.853071,30,2.717418
-271.453042,30,2.741354
-81.184138,30,2.76529
