Number of Episodes,Rewards
1500,-172.79323742000003
1530,-173.79273468
1560,-177.84167029999998
1590,-177.78103178
1620,-172.37592108
1650,-176.28030374000002
1680,-180.55382498000003
1710,-180.85556721999998
1740,-175.99126116
1770,-176.53911598000002
1800,-180.53640824000001
1830,-179.45214303999998
1860,-176.55535214
1890,-175.65632180000003
1920,-173.15086456000003
1950,-174.45823664
1980,-173.9835015
2010,-174.73266426
2040,-175.62877545999999
2070,-175.78266097999997
2100,-171.41105194
2130,-173.0152614
2160,-174.80050872
2190,-176.10511652000002
2220,-173.57074484
2250,-174.01121908
2280,-172.20766766
2310,-171.54354688
2340,-172.81728142000003
2370,-169.10754798000002
2400,-167.86725789999997
2430,-162.78836108000002
2460,-159.22415444
2490,-157.01624516
2520,-155.96821244
2550,-160.71611396
2580,-157.20447034
2610,-156.29557332000005
2640,-158.74899372000002
2670,-155.54003074
2700,-155.10586636
2730,-154.52829391999998
2760,-154.53658778
2790,-152.29149604
2820,-153.66912082000002
2850,-152.4590418
2880,-151.25600182000002
2910,-149.45262466000003
2940,-148.04484420000003
2970,-147.72632600000003
3000,-147.35281382000002
3030,-148.16290048
3060,-144.54331682
3090,-147.50801912000003
3120,-147.13640122
3150,-144.04220152
3180,-139.39345232
3210,-140.07403326
3240,-141.41848412
3270,-143.1334581
3300,-140.65679074
3330,-141.55647264
3360,-141.39691786
3390,-143.20073520000003
3420,-143.0051274
3450,-142.00042802
3480,-140.98201403999997
3510,-141.73638919999996
3540,-146.66035798
3570,-146.07702426000003
3600,-148.58972436000002
3630,-145.42934653999998
3660,-147.43298565999999
3690,-146.14418145999997
3720,-143.69327002
3750,-142.09147618
3780,-147.32249602
3810,-147.32696715999998
3840,-146.16959512
3870,-147.73617815999998
3900,-148.58537244
3930,-148.30324844
3960,-150.41652738
3990,-152.0391342
4020,-152.6738085
4050,-149.81095566000002
4080,-150.92672212000002
4110,-151.65849368
4140,-150.01332820000002
4170,-153.14668462000003
4200,-152.05659566000003
4230,-150.62643414000001
4260,-150.14981884000002
4290,-152.67586280000003
4320,-152.19019670000003
4350,-152.4759711
4380,-152.18124858000002
4410,-152.4304076
4440,-149.6665109
4470,-148.74260833999998
4500,-149.80633156
4530,-147.11349158
4560,-145.87829802
4590,-142.56105542
4620,-142.29926598
4650,-141.49498234
4680,-143.06687962
4710,-143.08326952
4740,-140.98333531999998
4770,-139.98796624000002
4800,-139.44312806000002
4830,-139.53192141999997
4860,-138.9584478
4890,-139.72848946000002
4920,-139.1843096
4950,-141.23486096
4980,-142.08564481999997
5010,-141.17241332
5040,-137.84319797999999
5070,-139.41381049999998
5100,-137.29561346
5130,-136.42024896
5160,-133.83375066000002
5190,-132.68936704
5220,-134.51559702
5250,-133.77745612
5280,-130.40860456
5310,-131.18719972000002
5340,-130.62306384000001
5370,-129.90385654
5400,-134.79053898
5430,-134.20171404
5460,-132.76280513999998
5490,-131.39838088
5520,-130.72430139999997
5550,-130.17582214
5580,-132.10964478
5610,-131.49285551999998
5640,-133.01636911999998
5670,-129.69833868
5700,-129.68779150000003
5730,-130.95953546
5760,-132.95159174
5790,-133.34827511999998
5820,-133.5241333
