#{"t_start": 1651951972.8368, "env_id": null}
r,l,t
-146.311616,30,0.034905
-151.043179,30,0.065824
-304.846532,30,0.094744
-174.490035,30,0.12267
-100.314995,30,0.150596
-198.806006,30,0.178521
-185.651016,30,0.209438
-153.099504,30,0.239358
-95.996504,30,0.267284
-236.457643,30,0.294213
-216.951912,30,0.321141
-127.736595,30,0.349097
-129.367451,30,0.374996
-122.476732,30,0.403088
-264.268903,30,0.430997
-254.888128,30,0.458943
-144.512409,30,0.486848
-182.005268,30,0.513776
-109.468769,30,0.543714
-75.446626,30,0.571649
-117.337572,30,0.599546
-316.166573,30,0.626474
-101.69841,30,0.654401
-278.965145,30,0.681339
-77.138813,30,0.709397
-129.095987,30,0.736325
-195.727125,30,0.764251
-326.553179,30,0.791179
-154.670367,30,0.819104
-83.587435,30,0.847192
-50.400162,30,0.874125
-80.094137,30,0.902045
-97.421854,30,0.929
-47.32689,30,0.956898
-114.497362,30,0.983826
-115.604937,30,1.011763
-202.8764,30,1.040675
-79.709054,30,1.072588
-49.25934,30,1.102509
-78.11011,30,1.132429
-218.938054,30,1.163346
-105.889095,30,1.192269
-303.062655,30,1.221191
-209.557326,30,1.251149
-62.136056,30,1.279037
-90.016023,30,1.306962
-111.186492,30,1.334887
-361.162302,30,1.362813
-191.293986,30,1.391617
-138.891244,30,1.419525
-176.16621,30,1.447443
-243.216681,30,1.475394
-182.230272,30,1.506285
-121.902567,30,1.537202
-181.83963,30,1.566126
-117.410799,30,1.59405
-120.615866,30,1.621992
-160.282554,30,1.649902
-501.828165,30,1.678823
-170.440252,30,1.706762
-123.890228,30,1.733677
-143.589563,30,1.761602
-151.842248,30,1.790528
-123.383279,30,1.817453
-253.5875,30,1.845379
-191.249613,30,1.873303
-337.116098,30,1.901229
-190.797876,30,1.929154
-87.604482,30,2.146574
-109.127842,30,2.175495
-115.065625,30,2.205416
-61.342666,30,2.239349
-214.646283,30,2.271239
-95.848858,30,2.300162
-116.626107,30,2.332077
-89.817822,30,2.360021
-219.885143,30,2.387927
-150.210364,30,2.414856
-103.371185,30,2.442808
-345.242499,30,2.469726
-111.40942,30,2.496655
-106.182656,30,2.524561
-203.809832,30,2.553484
-112.211204,30,2.580413
-434.027096,30,2.608337
-74.660035,30,2.635286
-267.561767,30,2.662199
-167.813758,30,2.69012
-111.815204,30,2.717048
-119.64874,30,2.743976
-43.960865,30,2.770903
-213.179833,30,2.807804
-266.734191,30,2.836727
-127.659573,30,2.863655
-80.152569,30,2.890848
-115.925989,30,2.918774
-298.705523,30,2.945703
-105.60015,30,2.972629
-284.263688,30,3.000561
-256.641733,30,3.026486
-55.653716,30,3.053414
-61.748607,30,3.081339
-162.134523,30,3.108267
-167.357477,30,3.136191
-146.995919,30,3.166561
-95.377511,30,3.195484
-232.25355,30,3.223358
