#{"t_start": 1651952781.8848877, "env_id": null}
r,l,t
-96.122654,15,0.019945
-106.351244,15,0.033908
-190.283271,15,0.048868
-39.094483,15,0.061835
-84.107182,15,0.073803
-100.796217,15,0.086768
-230.478698,15,0.099732
-614.147881,15,0.111701
-215.620306,15,0.124665
-108.399816,15,0.138628
-41.439653,15,0.15259
-282.782553,15,0.165557
-105.741688,15,0.178521
-89.447262,15,0.191487
-302.530139,15,0.205451
-65.007725,15,0.218416
-45.412178,15,0.231381
-69.436805,15,0.244345
-37.341018,15,0.257311
-76.031298,15,0.270276
-221.821461,15,0.283242
-64.244416,15,0.29521
-222.971791,15,0.308175
-158.408751,15,0.320144
-336.006482,15,0.333108
-39.197219,15,0.345511
-239.587214,15,0.358677
-164.05802,15,0.370643
-55.457092,15,0.384793
-132.76468,15,0.396761
-344.217422,15,0.408998
-98.689526,15,0.421964
-96.22689,15,0.434958
-66.575863,15,0.446898
-52.978118,15,0.459866
-58.713245,15,0.472828
-185.768628,15,0.485811
-78.778118,15,0.497762
-274.358465,15,0.510732
-274.755859,15,0.523978
-61.145274,15,0.535949
-87.22326,15,0.548912
-171.657486,15,0.56088
-79.448746,15,0.573846
-51.172742,15,0.586561
-147.431889,15,0.597769
-76.745646,15,0.610735
-75.935086,15,0.6237
-74.531663,15,0.635678
-179.577,15,0.648907
-233.308173,15,0.660876
-102.434719,15,0.672844
-123.00668,15,0.685808
-216.327346,15,0.698774
-78.448421,15,0.710742
-127.299111,15,0.72271
-121.194646,15,0.735675
-97.001496,15,0.74864
-243.242396,15,0.760609
-107.108489,15,0.77259
-227.603329,15,0.786547
-95.896598,15,0.799504
-84.172047,15,0.811472
-323.51311,15,0.824438
-80.304369,15,0.837415
-141.733415,15,0.849372
-209.315185,15,0.861339
-296.555157,15,0.874305
-158.720548,15,0.886484
-212.493122,15,0.89945
-164.820492,15,0.911421
-142.599157,15,0.924382
-103.266555,15,0.936351
-92.020639,15,0.949345
-110.865134,15,0.961301
-364.585817,15,0.974249
-134.359149,15,0.986217
-42.319854,15,0.999183
-85.805106,15,1.012148
-87.663292,15,1.025114
-59.7172,15,1.037081
-210.215662,15,1.050047
-168.041748,15,1.063012
-44.631401,15,1.075157
-149.799405,15,1.087126
-136.567118,15,1.101087
-106.626471,15,1.11308
-149.959191,15,1.126021
-109.852943,15,1.137999
-96.631096,15,1.150954
-222.354248,15,1.163919
-165.866916,15,1.176893
-365.13512,15,1.18985
-192.491165,15,1.201842
-181.641074,15,1.213786
-259.081767,15,1.226752
-271.287093,15,1.238719
-114.807044,15,1.251687
-89.265743,15,1.263652
-50.65922,15,1.27562
-75.191209,15,1.287588
-162.406949,15,1.299556
