Number of Episodes,Rewards
750,-124.71375112
765,-131.17918124
780,-129.36596737999997
795,-129.08049198
810,-130.08892541999998
825,-130.99761228
840,-131.44346346
855,-130.22921446
870,-121.40265065999999
885,-122.13053172
900,-126.02740672
915,-127.57623776
930,-126.36268969999999
945,-125.83081302
960,-128.8017672
975,-124.48733846
990,-125.11115974
1005,-120.08381684
1020,-125.08781122
1035,-126.2995601
1050,-128.84805376
1065,-131.02071708
1080,-130.68033327999999
1095,-129.27206608
1110,-125.65185064
1125,-127.67582994000001
1140,-131.39118404
1155,-125.71864096000002
1170,-126.7673084
1185,-127.76843582
1200,-127.49519133999999
1215,-123.52015566
1230,-126.89166266000001
1245,-127.23029764
1260,-127.4155428
1275,-127.45992844
1290,-128.20985252
1305,-126.29044798000001
1320,-125.51144663999999
1335,-125.48269742
1350,-123.43823818
1365,-123.41967741999999
1380,-122.07584594
1395,-124.41673251999998
1410,-126.59805648
1425,-129.67098904
1440,-139.35586416
1455,-138.92966306000002
1470,-138.62884972000003
1485,-139.8392846
1500,-138.81670653999998
1515,-133.57960436
1530,-137.30142602
1545,-136.70880304
1560,-145.45913804
1575,-144.70903070000003
1590,-144.22976016
1605,-145.16864448
1620,-144.1945378
1635,-145.68787908000002
1650,-143.29573620000002
1665,-146.26984952
1680,-149.49561466000003
1695,-151.42420752
1710,-147.52109375999999
1725,-146.10329792
1740,-145.0886533
1755,-144.84067764
1770,-140.39846799999998
1785,-139.33622634
1800,-138.59433144000002
1815,-138.58984992000003
1830,-138.93640084
1845,-140.89119814
1860,-142.34006704000004
1875,-140.6465099
1890,-136.15734398
1905,-137.66548322000003
1920,-137.64337536
1935,-138.22399638
1950,-140.35597789999997
1965,-139.71593529999998
1980,-139.1023511
1995,-139.86332668
2010,-139.75661428
2025,-139.20992968000002
2040,-136.73219182000003
2055,-140.93037496000002
2070,-139.86605452
2085,-140.01273935999998
2100,-140.34635959999997
2115,-145.91548243999998
2130,-150.50193516
2145,-148.74364214000002
2160,-147.99621496
2175,-145.40760606
2190,-136.35567484
2205,-137.08333507999998
2220,-143.13519856
2235,-143.44609544
2250,-147.58324421999998
2265,-146.56031521999998
2280,-145.37066038
2295,-146.114312
2310,-137.3404053
2325,-139.84766421999998
2340,-139.72350378000002
2355,-136.92262006
2370,-136.48510100000001
2385,-132.79811536
2400,-131.20023283999998
2415,-128.72215198
2430,-125.58068858
2445,-124.46417252
2460,-124.33814382000003
2475,-124.46510566000002
2490,-124.78751574000002
2505,-123.55118998
2520,-124.27126351999999
2535,-124.56046714
2550,-122.30470432000001
2565,-119.83311936000001
2580,-118.3713771
2595,-116.52985876
2610,-116.05868394
2625,-116.73135864
2640,-117.85965386
2655,-118.14962054
2670,-117.68051192000001
2685,-116.54740611999999
2700,-113.53450056
2715,-115.65332952000001
2730,-114.34668852
2745,-112.73082846
2760,-111.89253240000002
2775,-111.74514524000001
2790,-113.03377372000001
2805,-111.18443626000001
2820,-110.75518984000001
2835,-108.30190046000001
2850,-109.34436960000002
2865,-105.75767720000002
2880,-102.73204886000002
2895,-100.80530848000002
2910,-99.81698476000001
2925,-101.65531694
2940,-99.60716192
2955,-99.17418774000001
2970,-93.22038236
2985,-91.81228472000001
3000,-88.64463976000002
3015,-88.14250446
3030,-86.39267482
3045,-88.3611018
3060,-87.115132
3075,-87.06019638
3090,-87.69123152
3105,-88.02246778
3120,-93.27359136000001
3135,-95.05776672
3150,-96.13041944
3165,-95.43606122
3180,-95.01938670000001
3195,-95.74637421999999
3210,-99.39388268
3225,-101.99202310000003
3240,-102.11102136000002
3255,-105.51344378000002
3270,-105.81886056000002
3285,-105.48994928000002
3300,-105.11388994
3315,-106.75651796
3330,-109.50875298
3345,-108.75933696
3360,-108.15692250000001
3375,-107.39456934000002
3390,-106.88272564
3405,-104.7401058
3420,-112.18107834
3435,-112.1964983
3450,-112.03810794000002
3465,-110.5644024
3480,-111.08330787999999
3495,-116.51383368
3510,-122.65484598
3525,-124.59759030000001
3540,-126.18820270000002
3555,-129.03933812000002
3570,-131.22729992
3585,-133.61991017999998
3600,-132.85248868
3615,-130.14588452
3630,-129.08232028
3645,-130.37519882
3660,-130.80157168
3675,-129.24475458
3690,-129.26998504
3705,-129.45303398000001
3720,-129.21839680000002
3735,-131.15797393999998
3750,-129.32643695999997
3765,-130.19031696
3780,-135.11630168000002
3795,-134.53958276
3810,-142.60084524
3825,-140.35144079999998
3840,-140.48176966000003
3855,-144.00638228000003
3870,-139.2781746
3885,-137.90866506
3900,-137.15526754000004
3915,-135.9843456
3930,-137.10271744
3945,-137.2825846
3960,-134.61488234
3975,-141.24055858000003
3990,-141.49555206000002
4005,-140.411948
4020,-140.64416341999998
4035,-141.3662199
4050,-142.96612638000002
4065,-141.59656138000003
4080,-139.01197948000004
4095,-140.87281948
4110,-143.58614649999998
4125,-142.73000011999997
4140,-142.52396801999998
4155,-142.40389824
4170,-135.54601552
4185,-135.00475799999998
4200,-134.64935162
4215,-134.5240875
4230,-133.02478922
4245,-130.49007918
4260,-124.2404075
4275,-122.87649678
4290,-120.40811946
4305,-114.28378688
4320,-113.80954655999999
4335,-112.2628472
4350,-112.82439696
4365,-113.92796
4380,-112.53480183999999
4395,-112.33850267999999
4410,-112.05937493999998
4425,-111.88621239999999
4440,-112.09794763999999
4455,-112.59619539999998
4470,-114.31433686000001
4485,-112.11144222000001
4500,-114.15849834
4515,-113.44878456
4530,-108.35137608000001
4545,-106.36704882
4560,-98.76503295999998
4575,-100.22160504
4590,-100.27141522
4605,-97.12104685999999
4620,-96.2639164
4635,-96.12114507999999
4650,-101.96825888
4665,-102.55189308
4680,-102.273432
4695,-100.58036998
4710,-101.06537092
4725,-92.36914168000001
4740,-93.65619378
4755,-91.68595817999999
4770,-89.41491352
4785,-90.67164736000001
4800,-88.65563042000001
4815,-92.33897008
4830,-93.47712946000001
4845,-91.78742537999999
4860,-89.48656256
4875,-94.68961868000001
4890,-95.64340826
4905,-94.72854884
4920,-93.4429355
4935,-94.54112556000001
4950,-96.1221456
4965,-96.86479967999999
4980,-96.52854205999999
4995,-93.81640044
5010,-95.1150787
5025,-94.34092834
5040,-94.84246372000001
5055,-97.376918
5070,-98.55778576
5085,-99.39037306
5100,-98.99626124
5115,-98.17951782
5130,-99.02832126000001
5145,-97.41611806
5160,-98.10332346000001
5175,-97.97677324000001
5190,-96.11757714000001
5205,-98.86662826
5220,-97.21991986
5235,-98.94892792
5250,-98.32308274000002
5265,-99.91267008000001
5280,-102.12807923999999
5295,-103.82823000000002
5310,-103.74252728000002
5325,-101.8337588
5340,-102.38113966
5355,-104.05006634000001
5370,-106.97167580000001
5385,-109.24034558000001
5400,-108.05051852
5415,-107.23788071999999
5430,-106.08051672
5445,-106.58793344
5460,-104.85979492
5475,-103.97394538
5490,-101.28134482
5505,-101.65842768
5520,-101.71755694
5535,-99.79795060000001
5550,-101.45514
5565,-97.55161840000001
5580,-97.44853413999999
5595,-98.9948963
5610,-99.04515312
5625,-95.18824112
5640,-94.97208362
5655,-95.20740198
5670,-97.06122614
5685,-96.22318460000001
5700,-94.0174093
5715,-93.5723756
5730,-95.45788942
5745,-95.61254828
5760,-99.58548972000001
5775,-100.53912860000001
5790,-99.72293894
5805,-97.15528016
5820,-98.86641192
5835,-98.01019486
5850,-97.96565638000001
5865,-99.94084002
5880,-111.84811678
5895,-115.26672022
5910,-114.66619766000001
5925,-114.34700280000001
5940,-115.50739859999999
5955,-111.22443648000001
5970,-112.10706862
5985,-110.72772909999999
6000,-115.47207097999998
6015,-114.81889404
6030,-112.46211012000002
6045,-113.91005472
6060,-113.31088156000001
6075,-113.64593880000001
6090,-112.08827891999998
6105,-110.01340855999999
6120,-110.05347306
6135,-109.94799614
6150,-105.86309244
6165,-106.14279928
6180,-105.74275668
6195,-106.91377084
6210,-107.55598858000002
6225,-110.95414760000001
6240,-112.9844355
6255,-118.13259077999999
6270,-121.55251912
6285,-121.0487048
6300,-122.25422086
6315,-122.1487903
6330,-121.90542616
6345,-120.53495874000001
