#{"t_start": 1651713364.5162604, "env_id": null}
r,l,t
-118.671641,30,0.030216
-81.448358,30,0.060467
-97.793413,30,0.088736
-304.257247,30,0.111064
-101.912085,30,0.141307
-124.964753,30,0.171554
-169.032628,30,0.191725
-339.938165,30,0.219865
-150.014633,30,0.24197
-62.298096,30,0.270087
-184.123869,30,0.290204
-111.811379,30,0.312383
-161.058587,30,0.332497
-251.324264,30,0.360689
-98.294065,30,0.38282
-177.238196,30,0.402887
-92.246556,30,0.430985
-81.047136,30,0.451042
-203.358608,30,0.471155
-393.336637,30,0.503347
-159.47262,30,0.523426
-142.076867,30,0.551507
-57.402874,30,0.571596
-178.028179,30,0.591667
-91.163303,30,0.623772
-120.636986,30,0.643855
-78.671657,30,0.671936
-80.279342,30,0.692019
-163.132333,30,0.712183
-113.208149,30,0.744348
-287.176253,30,0.764397
-225.804603,30,0.79248
-144.808941,30,0.812545
-265.152797,30,0.832622
-124.396248,30,0.864975
-234.438177,30,0.885126
-162.702442,30,0.913259
-78.006083,30,0.933371
-177.201276,30,0.965553
-55.134826,30,0.985652
-163.266277,30,1.013776
-134.585623,30,1.033876
-154.244668,30,1.05397
-146.745047,30,1.086181
-94.321812,30,1.106259
-314.552977,30,1.134367
-199.108445,30,1.154457
-117.855751,30,1.17453
-151.305138,30,1.206669
-77.116724,30,1.226761
-182.884812,30,1.254824
-355.333468,30,1.27487
-63.14582,30,1.294955
-170.287479,30,1.32712
-252.026432,30,1.347253
-219.851693,30,1.375371
-117.475175,30,1.395444
-96.042572,30,1.415553
-110.868504,30,1.447731
-239.591039,30,1.467882
-57.506058,30,1.496193
-131.323012,30,1.516265
-106.410554,30,1.546427
-111.853381,30,1.568566
-114.755587,30,1.596695
-103.130595,30,1.616774
-156.476756,30,1.636865
-173.635183,30,1.669022
-260.118179,30,1.858242
-169.809195,30,1.890469
-148.009912,30,1.910583
-48.60869,30,1.938742
-114.988038,30,1.958863
-300.072499,30,1.991061
-172.026419,30,2.021243
-63.098144,30,2.049355
-75.502432,30,2.071675
-108.987005,30,2.091805
-139.236034,30,2.119889
-81.921987,30,2.135514
-131.625672,30,2.166757
-80.184805,30,2.197999
-158.887673,30,2.220126
-107.645107,30,2.235754
-176.169199,30,2.266994
-58.572007,30,2.298237
-168.963793,30,2.320363
-182.036271,30,2.335994
-126.23633,30,2.367241
-107.415201,30,2.398477
-67.693659,30,2.4206
-116.350865,30,2.436226
-76.569965,30,2.467469
-42.483609,30,2.498718
-137.628495,30,2.520837
-141.629966,30,2.536462
-76.800307,30,2.567706
-140.787943,30,2.598949
-97.872313,30,2.621105
-120.739345,30,2.636729
-329.395901,30,2.667972
-139.971359,30,2.699228
-120.782096,30,2.721344
-51.493005,30,2.75259
-216.019708,30,2.768212
