#{"t_start": 1651712259.4009275, "env_id": null}
r,l,t
-118.333572,30,0.038119
-160.635032,30,0.060263
-93.154501,30,0.088448
-226.52492,30,0.110536
-118.437905,30,0.140751
-76.413268,30,0.178996
-35.719475,30,0.201226
-283.695395,30,0.231458
-235.435554,30,0.249532
-74.148236,30,0.271663
-179.298597,30,0.299885
-123.203331,30,0.321986
-211.213886,30,0.342082
-225.452573,30,0.362149
-41.974302,30,0.392248
-234.124089,30,0.410534
-81.595818,30,0.432636
-112.983061,30,0.462873
-146.711016,30,0.482977
-266.800193,30,0.503051
-154.622746,30,0.531125
-151.104398,30,0.551206
-119.180329,30,0.571272
-314.724986,30,0.603393
-100.802146,30,0.623558
-104.033262,30,0.651805
-131.559119,30,0.671879
-51.472015,30,0.691976
-209.690078,30,0.724122
-91.539414,30,0.744193
-209.206143,30,0.772304
-179.386443,30,0.792371
-111.609496,30,0.812469
-214.010278,30,0.844631
-95.163898,30,0.864682
-97.833139,30,0.892826
-113.603508,30,0.912966
-80.610784,30,0.943097
-207.479073,30,0.965224
-72.719007,30,0.985277
-104.520697,30,1.01348
-129.7121,30,1.033553
-165.770051,30,1.065743
-81.770871,30,1.085814
-97.908119,30,1.105895
-291.58057,30,1.133975
-407.687165,30,1.154079
-138.655336,30,1.184226
-233.915671,30,1.206359
-74.858194,30,1.226438
-175.092295,30,1.254541
-198.788784,30,1.27471
-90.789813,30,1.306849
-164.226091,30,1.326898
-440.909061,30,1.354995
-211.062349,30,1.375045
-100.590096,30,1.407509
-61.982942,30,1.427555
-70.458919,30,1.455616
-129.867536,30,1.47569
-142.009755,30,1.495786
-54.147144,30,1.527888
-95.167302,30,1.547969
-80.661327,30,1.576077
-65.138955,30,1.596154
-118.696366,30,1.627149
-83.078317,30,1.649246
-106.82788,30,1.66932
-120.983048,30,1.878566
-81.997587,30,1.898697
-178.099902,30,1.930903
-128.215502,30,1.961296
-62.811373,30,1.989457
-161.037791,30,2.011558
-110.295632,30,2.039726
-66.27262,30,2.069895
-67.202415,30,2.091974
-58.740351,30,2.120044
-59.56513,30,2.140109
-77.608399,30,2.160209
-163.070395,30,2.192329
-47.897998,30,2.212446
-125.464964,30,2.240553
-55.123179,30,2.260635
-320.614992,30,2.280733
-67.555628,30,2.312889
-134.03681,30,2.332964
-165.995227,30,2.361059
-57.553987,30,2.381129
-120.145883,30,2.401231
-110.990059,30,2.433398
-31.607736,30,2.453502
-73.864876,30,2.481582
-45.821431,30,2.50165
-122.631133,30,2.52177
-146.963263,30,2.553925
-57.767675,30,2.574026
-79.483265,30,2.602118
-83.401404,30,2.622215
-48.527661,30,2.652354
-124.205302,30,2.674437
-68.268999,30,2.694503
-297.568436,30,2.722621
-73.188142,30,2.742685
-106.503368,30,2.762786
-33.885108,30,2.795037
-70.970563,30,2.815142
-139.298849,30,2.843227
-203.432189,30,2.863296
-111.889054,30,2.893413
-207.561045,30,2.915544
-184.923355,30,2.935593
-114.878739,30,2.963717
-70.952784,30,2.983783
-58.477179,30,3.013879
-18.515929,30,3.036103
-215.141081,30,3.0643
-451.946433,30,3.084502
-96.250835,30,3.116725
-153.278529,30,3.136849
-41.39915,30,3.165039
-135.165291,30,3.185117
-79.464155,30,3.205379
-108.457155,30,3.237794
-88.522992,30,3.266034
-217.245138,30,3.288195
-55.31149,30,3.306356
-65.737679,30,3.338687
-271.802781,30,3.358836
-109.298087,30,3.379104
-198.622905,30,3.409257
-214.477756,30,3.429429
-291.032425,30,3.45762
-194.303077,30,3.479761
-120.957463,30,3.509883
-103.310722,30,3.53001
-130.88092,30,3.746803
-94.063173,30,3.781096
-215.653755,30,3.811298
-69.327491,30,3.831472
-26.452224,30,3.861708
-86.373711,30,3.89188
-274.615112,30,3.920072
-47.763387,30,3.94227
-45.791828,30,3.962364
-83.051349,30,3.990501
-101.8947,30,4.023353
-84.210966,30,4.053528
-105.897595,30,4.071646
-92.464319,30,4.103832
-49.477323,30,4.123901
-71.022447,30,4.154112
-51.430324,30,4.174237
-113.379136,30,4.194368
-111.106798,30,4.222553
-45.966958,30,4.24468
-41.223583,30,4.264776
-106.813714,30,4.284873
-113.804891,30,4.304965
-96.50164,30,4.335113
-98.174703,30,4.355236
-68.374541,30,4.375323
-144.924591,30,4.39545
-60.778283,30,4.425623
-103.320722,30,4.445708
-78.426054,30,4.465892
-123.001639,30,4.485991
-100.063773,30,4.5161
-205.664969,30,4.536183
-50.674265,30,4.556279
-117.378703,30,4.58443
-54.849297,30,4.606562
-138.145414,30,4.627333
-161.464019,30,4.655463
-85.573953,30,4.677641
-38.487143,30,4.695735
-26.840804,30,4.717831
-80.311503,30,4.746094
-84.811744,30,4.768305
-363.578391,30,4.78843
-40.799035,30,4.808568
-63.725986,30,4.836707
-45.875871,30,4.858808
-39.175121,30,4.878927
-106.843888,30,4.899079
-50.762199,30,4.929417
-105.904869,30,4.949498
-73.322054,30,4.969607
-34.91668,30,4.997791
-35.896051,30,5.027974
-142.637751,30,5.050117
-113.940148,30,5.070238
-58.561527,30,5.09836
-200.510405,30,5.120514
-41.443791,30,5.140631
-98.11098,30,5.168818
-199.369976,30,5.190918
-51.304095,30,5.211059
-103.642839,30,5.231874
-180.529685,30,5.260001
-73.32948,30,5.28219
-47.671305,30,5.300298
-33.355681,30,5.322384
-113.34213,30,5.350563
-86.739652,30,5.552151
-33.231578,30,5.574318
-123.56274,30,5.602508
-180.722033,30,5.634726
-131.648299,30,5.662865
-45.545846,30,5.693026
-100.59223,30,5.715201
-134.399785,30,5.743386
-132.883256,30,5.763453
-33.483632,30,5.795593
-50.278137,30,5.815664
-101.846696,30,5.84397
-69.415406,30,5.864054
-24.99003,30,5.884124
-47.088105,30,5.916252
-34.498615,30,5.936355
-70.182924,30,5.964456
-239.918643,30,5.984559
-115.724542,30,6.004708
-172.542821,30,6.036834
-88.649168,30,6.056974
-90.40781,30,6.085061
-119.910778,30,6.10511
-83.891813,30,6.125208
-55.864511,30,6.157375
-146.583277,30,6.17751
-62.013273,30,6.205585
-49.656434,30,6.225747
-73.28185,30,6.245816
-28.583134,30,6.27794
-38.547785,30,6.298018
-64.169965,30,6.326098
-55.379948,30,6.346233
-110.299313,30,6.366334
-174.327517,30,6.398472
-44.261436,30,6.418534
-89.894617,30,6.446813
-154.690258,30,6.466913
-186.742686,30,6.499032
-66.457768,30,6.519096
-92.321107,30,6.547228
-59.076984,30,6.5673
-64.941059,30,6.58738
-84.656299,30,6.619933
-47.771501,30,6.640001
-107.974599,30,6.668119
-74.267139,30,6.688185
-122.681397,30,6.70825
-31.132963,30,6.740475
-61.812168,30,6.760545
-40.601961,30,6.788694
-82.708238,30,6.80874
