#{"t_start": 1651952398.5248504, "env_id": null}
r,l,t
-303.874101,90,0.083778
-226.699587,90,0.169548
-266.853463,90,0.247342
-156.43649,90,0.322141
-268.327991,90,0.39395
-344.106758,90,0.465757
-332.013131,90,0.536567
-183.225284,90,0.607378
-339.256874,90,0.677191
-220.441641,90,0.748025
-363.929853,90,0.818823
-356.189756,90,0.889635
-193.406265,90,0.963437
-185.354678,90,1.035244
-230.487748,90,1.106087
-331.808518,90,1.176866
-245.990805,90,1.24967
-173.492264,90,1.322477
-302.49033,90,1.395282
-149.559999,90,1.468086
-182.789983,90,1.544881
-187.087623,90,1.618683
-324.443129,90,1.878081
-345.641681,90,1.963851
-276.77649,90,2.038651
-211.554257,90,2.114451
-104.549526,90,2.187256
-148.223345,90,2.258066
-177.044162,90,2.330885
-140.070571,90,2.404688
-110.833358,90,2.478492
-263.724762,90,2.553292
-225.767788,90,2.628092
-274.100925,90,2.702109
-187.183792,90,2.775912
-107.309524,90,2.850711
-240.432655,90,2.926027
-325.081842,90,3.002895
-153.909189,90,3.077668
-452.969142,90,3.150879
-177.079285,90,3.226676
-226.161222,90,3.301503
-152.756661,90,3.376754
-216.808,90,3.451617
-317.498069,90,3.526429
-188.679725,90,3.788309
-113.593408,90,3.868094
-298.773334,90,3.947881
-256.415683,90,4.022683
-185.508643,90,4.097424
-146.529356,90,4.172202
-155.321321,90,4.247001
-157.819902,90,4.322799
-311.124559,90,4.396943
-196.634841,90,4.471723
-150.452473,90,4.545525
-283.233516,90,4.618331
-164.789993,90,4.691136
-207.250864,90,4.763951
-193.713794,90,4.836756
-129.777333,90,4.907566
-152.999776,90,4.979374
-254.269851,90,5.050436
-247.578107,90,5.121274
-314.344098,90,5.192058
-341.202125,90,5.267855
-176.217435,90,5.34077
-131.21027,90,5.414572
-170.64491,90,5.678864
-284.339421,90,5.7631
-146.172355,90,5.838898
-122.384744,90,5.912728
-144.760916,90,5.984509
-185.266677,90,6.060308
-229.908636,90,6.132115
-212.168382,90,6.20494
-272.41887,90,6.278941
-254.49108,90,6.349751
-137.45515,90,6.420562
-153.387179,90,6.492369
-236.861406,90,6.56318
-92.653842,90,6.634988
-163.708223,90,6.707104
-191.460387,90,6.777916
-108.039446,90,6.848754
-204.100809,90,6.919537
-201.541944,90,6.990347
-136.551888,90,7.062156
-194.821074,90,7.137952
-184.097867,90,7.211755
