#{"t_start": 1651712073.0294733, "env_id": null}
r,l,t
-174.314842,90,0.080792
-217.913507,90,0.151365
-167.222969,90,0.231914
-129.696624,90,0.300251
-41.42835,90,0.372842
-132.866158,90,0.443408
-281.062892,90,0.513655
-150.410561,90,0.584056
-176.51935,90,0.654518
-69.274928,90,0.725034
-216.879384,90,0.795397
-204.389761,90,0.865715
-109.099971,90,0.936061
-67.424599,90,1.004377
-157.030469,90,1.076689
-240.852349,90,1.147177
-105.761819,90,1.217619
-131.524272,90,1.285915
-218.067647,90,1.358261
-113.874832,90,1.428711
-95.065037,90,1.497098
-87.151587,90,1.567504
-156.213305,90,1.811356
-160.170568,90,1.889812
-177.899529,90,1.962218
-105.098564,90,2.042669
-49.606786,90,2.110941
-47.170019,90,2.18329
-85.147116,90,2.251567
-110.19181,90,2.332045
-106.09748,90,2.404349
-174.30528,90,2.472654
-106.862097,90,2.545122
-150.892038,90,2.623514
-173.643703,90,2.693767
-56.401297,90,2.766028
-131.119762,90,2.834338
-198.508007,90,2.90669
-109.612985,90,2.98533
-247.729989,90,3.055682
-46.271351,90,3.128254
-125.530509,90,3.1966
-93.126728,90,3.276789
-132.011128,90,3.349159
-239.975254,90,3.417404
-81.907179,90,3.671085
-113.340097,90,3.75144
-195.436196,90,3.819829
-80.47406,90,3.892112
-75.374555,90,3.960404
-66.108454,90,4.040783
-88.484769,90,4.113167
-162.974255,90,4.181477
-215.744519,90,4.253837
-130.206791,90,4.322315
-37.578627,90,4.394721
-296.043498,90,4.462934
-92.138978,90,4.543419
-116.35756,90,4.615775
-137.871581,90,4.686119
-52.426929,90,4.756529
-67.228076,90,4.824852
-164.783083,90,4.887225
-165.368272,90,4.958292
-172.669088,90,5.028854
-192.153773,90,5.089198
-135.360682,90,5.159544
-67.988372,90,5.229944
-94.198305,90,5.490083
-135.69627,90,5.562644
-89.022493,90,5.643274
-81.458668,90,5.711515
-90.549117,90,5.783891
-155.225466,90,5.854243
-228.168613,90,5.922653
-85.861257,90,5.985051
-185.540374,90,6.055502
-181.041231,90,6.126121
-76.559179,90,6.194442
-67.038066,90,6.25673
-110.14957,90,6.327227
-56.387123,90,6.397562
-95.496309,90,6.465896
-118.834216,90,6.528202
-48.85453,90,6.596605
-117.062496,90,6.669074
-91.231213,90,6.737569
-66.460122,90,6.809862
