#{"t_start": 1651711870.6471903, "env_id": null}
r,l,t
-254.785044,15,0.020096
-71.996813,15,0.038152
-155.153383,15,0.048241
-82.488865,15,0.068354
-74.732403,15,0.088447
-140.755213,15,0.100558
-47.415573,15,0.108598
-83.216136,15,0.128719
-75.101918,15,0.1408
-78.771733,15,0.160939
-45.854843,15,0.168976
-140.090165,15,0.189099
-300.18994,15,0.201191
-252.268643,15,0.21929
-78.209777,15,0.229326
-280.212508,15,0.24141
-47.062587,15,0.26148
-19.02821,15,0.269494
-137.728465,15,0.289576
-89.602533,15,0.301683
-210.691093,15,0.309697
-44.736796,15,0.329746
-73.302999,15,0.341781
-277.761896,15,0.349794
-101.646978,15,0.370104
-117.786595,15,0.382192
-35.865411,15,0.390206
-43.960529,15,0.410293
-122.183886,15,0.422412
-116.271031,15,0.430428
-382.928617,15,0.450531
-152.322716,15,0.462582
-97.149409,15,0.480634
-98.242742,15,0.490662
-188.330136,15,0.502718
-74.860046,15,0.520839
-121.446841,15,0.530869
-52.197015,15,0.542926
-90.40035,15,0.562999
-32.793654,15,0.571013
-46.893991,15,0.583069
-131.509295,15,0.60315
-127.159543,15,0.611164
-67.564915,15,0.631266
-120.448252,15,0.64332
-198.199844,15,0.651332
-282.381941,15,0.671446
-41.395969,15,0.684241
-79.949162,15,0.692287
-17.82519,15,0.712396
-186.810368,15,0.724458
-243.098182,15,0.732498
-118.508174,15,0.752599
-564.903466,15,0.764633
-434.209363,15,0.782662
-160.969444,15,0.792691
-127.130718,15,0.804724
-48.097382,15,0.822783
-21.40968,15,0.832809
-25.925502,15,0.84484
-182.094053,15,0.862894
-88.11802,15,0.872953
-77.688604,15,0.885006
-94.401867,15,0.903084
-57.346935,15,0.913125
-163.366053,15,0.925211
-46.680233,15,0.945294
-95.280461,15,0.953308
-217.391438,15,0.965407
-246.01678,15,0.98552
-334.59482,15,0.993561
-58.705699,15,1.005618
-63.430461,15,1.025762
-243.3258,15,1.033778
-126.641227,15,1.053905
-113.941243,15,1.065992
-38.016005,15,1.074004
-45.971728,15,1.094126
-20.777761,15,1.106215
-127.824315,15,1.114233
-202.329817,15,1.13434
-55.450788,15,1.146453
-57.836236,15,1.164494
-80.982739,15,1.174525
-432.033479,15,1.18656
-83.45476,15,1.204682
-199.96334,15,1.214712
-166.063366,15,1.226756
-79.258495,15,1.244823
-130.62034,15,1.254869
