#{"t_start": 1651710201.342617, "env_id": null}
r,l,t
-164.83853,90,0.105824
-124.847206,90,0.198576
-83.946895,90,0.284751
-198.738472,90,0.369524
-195.781229,90,0.458057
-235.601958,90,0.543826
-70.523985,90,0.628599
-155.411159,90,0.71359
-88.188423,90,0.797367
-138.014937,90,0.877332
-50.539692,90,0.961852
-134.382908,90,1.043633
-182.16275,90,1.126412
-100.110845,90,1.208193
-87.624443,90,1.288977
-72.832389,90,1.368763
-154.343037,90,1.44855
-116.767311,90,1.529334
-130.873946,90,1.609121
-322.054173,90,1.690902
-73.91674,90,1.770689
-128.896994,90,1.850475
-178.145769,90,2.130885
-191.962769,90,2.220645
-97.946694,90,2.3124
-63.819358,90,2.394181
-197.278372,90,2.474965
-86.822876,90,2.55575
-99.795127,90,2.637619
-140.604185,90,2.718404
-47.923859,90,2.799187
-178.237747,90,2.881097
-333.576764,90,2.962878
-138.450912,90,3.04466
-95.985315,90,3.131428
-92.336066,90,3.213209
-69.454792,90,3.29499
-252.712204,90,3.377768
-294.259071,90,3.460546
-51.143818,90,3.541835
-119.155472,90,3.624614
-104.40196,90,3.707392
-145.158475,90,3.790171
-70.541191,90,3.871953
-58.056445,90,3.954368
-117.055038,90,4.231627
-231.472499,90,4.334352
-74.649206,90,4.421133
-119.975583,90,4.504923
-73.711876,90,4.587675
-104.490345,90,4.673553
-107.593393,90,4.756617
-57.821119,90,4.839396
-239.764567,90,4.924025
-113.383765,90,5.00806
-141.077189,90,5.091836
-70.158943,90,5.17694
-331.865459,90,5.259718
-112.727125,90,5.342497
-130.687915,90,5.425276
-42.436681,90,5.509217
-58.654264,90,5.594161
-40.94103,90,5.677936
-295.289956,90,5.759717
-99.050455,90,5.839504
-83.890863,90,5.919489
-84.059093,90,6.00127
-129.775781,90,6.083057
-158.427061,90,6.370281
-85.03386,90,6.469018
-74.431065,90,6.552795
-58.518022,90,6.634576
-134.888892,90,6.71536
-105.932781,90,6.796145
-96.592777,90,6.874853
-79.117522,90,6.957914
-76.431578,90,7.039688
