Number of Episodes,Rewards
4500,-134.7006293
4590,-133.4936656
4680,-133.14858934
4770,-132.62607382000002
4860,-133.44659572
4950,-131.79864644
5040,-129.90815106
5130,-129.90085022000002
5220,-133.42993622
5310,-133.92071026000002
5400,-133.77416982000003
5490,-133.6121096
5580,-132.09753672000002
5670,-129.27310232000002
5760,-133.17668454000002
5850,-133.40520478000002
5940,-133.62637426
6030,-132.22069538000002
6120,-132.48086478
6210,-133.03192708
6300,-128.29152082
6390,-128.30180732
6480,-126.89422788
6570,-126.02909034
6660,-124.30849058
6750,-124.28141224
6840,-124.58737552
6930,-122.17043964
7020,-121.71829124
7110,-120.50873834
7200,-120.91869327999999
7290,-120.93112513999999
7380,-120.27150094
7470,-115.57002126
7560,-115.76045764
7650,-116.18184626
7740,-116.89711862
7830,-118.5960374
7920,-115.01874002
8010,-110.36378368
8100,-111.05635504
8190,-109.97014822
8280,-109.97244642
8370,-108.52572110000001
8460,-107.98292156000001
8550,-108.28515634000001
8640,-107.13354904
8730,-104.9201631
8820,-104.4947462
8910,-103.43484434000001
9000,-105.27103306000001
9090,-104.87670519999999
9180,-106.89374984
9270,-106.89400856000002
9360,-103.25957380000001
9450,-101.62915502
9540,-100.28564574
9630,-100.20195216
9720,-95.30697268
9810,-97.73018962
9900,-95.74547826
9990,-96.24257306000001
10080,-96.06250288
10170,-97.81326714
10260,-94.54178632000001
10350,-94.32834670000001
10440,-93.46812776000002
10530,-93.56612262
10620,-92.67175507999998
10710,-91.45191847999999
10800,-91.70237494
10890,-91.84135572000001
10980,-92.0674129
11070,-91.01174418
11160,-90.44845631999999
11250,-89.62143726
11340,-89.44852478000001
11430,-90.21206176000003
11520,-89.80996252000003
11610,-90.1408662
11700,-87.81719984000001
11790,-89.18581540000001
11880,-87.14606094000001
11970,-86.99419842
12060,-87.09106459999998
12150,-85.60515335999999
12240,-83.59148962
12330,-82.72112812
12420,-82.03011715999999
12510,-81.86122803999999
12600,-82.31109617999999
12690,-81.93512120000001
12780,-80.55045774
12870,-80.91588548000001
12960,-80.57860752
13050,-80.25642672000001
13140,-80.313406
13230,-81.50665550000001
13320,-81.89634792000001
13410,-81.59434202
13500,-79.23956672
13590,-81.16448091999999
13680,-78.07534014
13770,-79.22801213999999
13860,-79.99379567999999
13950,-81.30101844
14040,-83.64024312
14130,-83.38603022
14220,-83.70074358
14310,-79.93210396
14400,-80.12294696000001
14490,-83.82041456
14580,-85.66104306000001
14670,-84.04739646000002
14760,-82.09790932000001
14850,-83.00135236000001
14940,-82.8062237
15030,-81.86983767999999
15120,-81.16819211999999
15210,-79.70372645999998
15300,-78.34687876
15390,-78.15867686
15480,-77.59370836000002
15570,-77.50425904000001
15660,-76.550965
15750,-76.09179672000002
15840,-75.59883620000001
15930,-74.76340520000001
16020,-74.61761184000002
16110,-75.85300106000001
16200,-75.79491342
16290,-75.40742356
16380,-76.06351304
16470,-75.17189372
16560,-72.53495212
16650,-72.49432008000001
16740,-72.99194026
16830,-72.03806446
16920,-71.83343988
17010,-71.82534856000001
17100,-70.37855196
17190,-69.89884108
17280,-70.18491442000001
17370,-69.17548606000001
17460,-71.25514048000001
17550,-71.07620796
17640,-71.4552377
17730,-68.4980082
17820,-67.71739502
17910,-67.59097472
18000,-67.05316958
18090,-64.97990104
18180,-64.78539356
18270,-64.3668585
18360,-63.40542622
18450,-62.983585379999994
18540,-60.15662124
18630,-59.627873040000004
18720,-58.583604820000005
18810,-58.61586144
18900,-58.104792520000004
18990,-53.98958082
19080,-53.46046176
19170,-53.564954920000005
19260,-53.579383420000006
19350,-51.37109722
19440,-51.15284932
19530,-51.75401982
19620,-51.90028244
19710,-52.54539112
19800,-52.443562060000005
19890,-52.48379184
19980,-52.56347794
20070,-51.79996252000001
20160,-52.102045540000006
20250,-51.917457639999995
20340,-52.41561688
20430,-51.65436407999999
20520,-51.71529712
20610,-50.333360760000005
20700,-50.16767928
20790,-48.68290338
20880,-47.69295768
20970,-47.132172020000006
21060,-47.537471100000005
21150,-47.23290636
21240,-47.02267384
21330,-46.38870046000001
21420,-46.32821596000001
21510,-45.822323499999996
21600,-45.72193142
21690,-46.8728997
21780,-46.438092239999996
21870,-46.50042874
21960,-44.61133905999999
22050,-44.53042796
22140,-43.4813114
22230,-43.642574720000006
22320,-44.04016920000001
22410,-43.49823804
22500,-43.805821800000004
22590,-42.716528280000006
22680,-42.59887132
22770,-41.34399782
22860,-40.90563428
22950,-41.12731500000001
23040,-40.895190420000006
23130,-41.00411752000001
23220,-40.83230386
23310,-40.44904322000001
23400,-41.000957660000005
23490,-40.5694262
23580,-39.10950812
23670,-38.936910919999995
23760,-38.52460948
23850,-38.94553452000001
23940,-39.016791420000004
24030,-38.65610086
24120,-38.7148035
24210,-38.210923259999994
24300,-38.23388512
24390,-37.24649544
24480,-37.4450821
24570,-37.249706800000006
24660,-36.84508702
24750,-36.8736411
24840,-35.88394534
24930,-35.90391896
25020,-35.7079069
25110,-35.30067426
25200,-36.083950619999996
25290,-36.1219819
25380,-36.07125394
25470,-36.16085626
25560,-35.75657658
25650,-35.803129059999996
25740,-35.193702720000005
25830,-35.23784954
25920,-35.05724096
26010,-34.994175000000006
26100,-35.242802360000006
26190,-34.0569502
26280,-33.6871483
26370,-33.1507633
26460,-33.8724737
26550,-33.34001118
26640,-33.271710080000005
26730,-32.81970913999999
26820,-32.12738374
26910,-32.440000520000005
27000,-32.60433194
27090,-32.7111463
27180,-32.60394576
27270,-32.49436538
27360,-32.45077666
27450,-31.408530560000003
27540,-31.26957282
27630,-31.31145258
27720,-31.00738062
27810,-31.1050222
27900,-30.7745364
27990,-30.819653699999996
28080,-30.5507471
28170,-29.97211422
28260,-30.14652012
28350,-29.67691098
28440,-29.82770172
28530,-29.174512439999997
28620,-28.6880195
28710,-28.82572184
28800,-28.60492738
28890,-28.79503214
28980,-28.43897312
29070,-28.573521
29160,-29.0557145
29250,-29.191522
29340,-29.269878199999997
29430,-28.876496539999998
29520,-28.74942716
29610,-28.7168879
29700,-27.864311660000002
29790,-27.75228354
29880,-27.83008216
29970,-28.03822434
30060,-28.134655679999998
30150,-27.87508166
30240,-28.19608188
30330,-27.707504179999997
30420,-28.212336379999996
30510,-28.608518659999998
30600,-28.18848306
30690,-28.57615434
30780,-28.69349384
30870,-28.955157
30960,-27.971620060000003
31050,-27.9201972
31140,-27.934907959999997
31230,-27.8018085
31320,-28.188088439999998
31410,-27.73052784
31500,-27.144073679999998
31590,-27.257873160000003
31680,-27.02747578
31770,-26.827856280000002
31860,-27.01901472
31950,-26.876329220000002
32040,-26.858913180000002
