Number of Episodes,Rewards
750,-125.07706942
765,-125.38280134000001
780,-124.53252558000001
795,-124.83914892
810,-124.97275626
825,-124.57882754000002
840,-123.80381016000003
855,-122.90712526
870,-120.34787407999998
885,-120.66131182
900,-120.8477115
915,-122.14203649999999
930,-122.15649051999999
945,-123.14297116
960,-125.96943590000001
975,-122.6233273
990,-121.47597156000002
1005,-119.41309100000001
1020,-122.41612142
1035,-121.9872819
1050,-126.05807992000001
1065,-125.00999562
1080,-125.3392224
1095,-124.77436342000001
1110,-122.38270954000001
1125,-121.65270276
1140,-121.07282362
1155,-119.55418876
1170,-118.42185708000001
1185,-118.41779446000001
1200,-119.03988676
1215,-117.79449134000001
1230,-120.83957932000001
1245,-121.97248315999998
1260,-122.32341394
1275,-122.83455706000001
1290,-121.66757686
1305,-121.17358602
1320,-119.1901934
1335,-116.54966994
1350,-115.41270774000002
1365,-113.76663208000001
1380,-116.03545928000001
1395,-118.14873164000001
1410,-118.83974464
1425,-117.3739097
1440,-120.15957298
1455,-119.05634798000001
1470,-118.93581334000001
1485,-117.68863236000001
1500,-118.87229704
1515,-118.22481232
1530,-118.69639718
1545,-119.61183540000002
1560,-122.28947776000001
1575,-121.41233504
1590,-124.99589997999999
1605,-124.18231156
1620,-133.2978237
1635,-133.55386694
1650,-133.67758638
1665,-134.15880054
1680,-136.33465973999998
1695,-136.75862641999998
1710,-133.74115577999999
1725,-134.8913467
1740,-135.33341640000003
1755,-134.16565506000003
1770,-132.81357984000002
1785,-135.97906944
1800,-135.8414745
1815,-138.2925873
1830,-135.59939776000002
1845,-135.49781476
1860,-135.85516868
1875,-135.31835008000002
1890,-137.49670782
1905,-137.29703818000002
1920,-137.84314352
1935,-137.72385653999999
1950,-139.89461178
1965,-138.17483615999998
1980,-134.58919090000003
1995,-134.6072174
2010,-134.44502322
2025,-133.88712606
2040,-132.2844395
2055,-135.62732398
2070,-134.81794782
2085,-136.16417342000003
2100,-135.69544356000003
2115,-139.29591698000002
2130,-139.37918832
2145,-133.73289982
2160,-132.99931898
2175,-133.01539478
2190,-130.20866066
2205,-130.02873364
2220,-135.04970002
2235,-135.74139671999998
2250,-135.00573046
2265,-133.68710024000004
2280,-134.64069914
2295,-134.94628426
2310,-130.45694422
2325,-132.28119414000003
2340,-128.37207506
2355,-129.90527781999998
2370,-121.15434053999999
2385,-118.37606816
2400,-119.9046363
2415,-117.62279394000001
2430,-118.24965576000001
2445,-117.21980466
2460,-116.8711523
2475,-115.61064996000002
2490,-116.54825566000001
2505,-117.36748096
2520,-115.68715178
2535,-111.67090783999998
2550,-108.06416936
2565,-105.64343486
2580,-106.44514562
2595,-108.67544232
2610,-109.7660189
2625,-112.12955892
2640,-109.58943034
2655,-108.84602242000001
2670,-106.6346109
2685,-106.62984842
2700,-106.02191132000002
2715,-105.92193936
2730,-108.93708258
2745,-108.86118438000001
2760,-109.67621564000001
2775,-109.2683557
2790,-110.23090256
2805,-108.17775282000001
2820,-107.12459452
2835,-106.51675918000001
2850,-110.16064420000001
2865,-105.69454066000002
2880,-102.10761988
2895,-106.85063212
2910,-107.47823952
2925,-109.82117438
2940,-110.44105392000002
2955,-110.03952454000002
2970,-104.90270960000001
2985,-106.82411598000002
3000,-105.40552104000001
3015,-108.07143552
3030,-108.76221194
3045,-108.09924305999999
3060,-107.27644186
3075,-107.98434490000001
3090,-108.53572576
3105,-107.74226736
3120,-107.47491358
3135,-110.32912954000001
3150,-109.81626304000001
3165,-110.55341838000001
3180,-108.6131354
3195,-108.34267644
3210,-111.23976412
3225,-114.47897876
3240,-113.89816162000001
3255,-113.84407278
3270,-113.96155416
3285,-115.25927146
3300,-114.43760958
3315,-114.52877266000002
3330,-114.75974748
3345,-112.43743602
3360,-114.05948790000001
3375,-111.61426472
3390,-112.08249222
3405,-114.40839474
3420,-117.47992032000002
3435,-118.33115326000001
3450,-115.76271292
3465,-115.02894506
3480,-113.2052585
3495,-114.34617438000001
3510,-116.5253365
3525,-118.93319635999998
3540,-119.09672047999999
3555,-120.21414732
3570,-121.65764282
3585,-121.52950836000001
3600,-118.86884892
3615,-119.28814666000001
3630,-118.36499082000002
3645,-116.55636580000001
3660,-117.04348248000001
3675,-116.44228806
3690,-113.45335882
3705,-113.93873042000001
3720,-115.98883012000002
3735,-113.94998240000001
3750,-113.83329647999999
3765,-114.29355142000001
3780,-113.58681258000001
3795,-112.18250060000001
3810,-118.29021850000002
3825,-115.88280616
3840,-116.86926455999999
3855,-117.66038834
3870,-119.09494428
3885,-117.67615169999999
3900,-117.02565216
3915,-117.27938100000001
3930,-120.68919182
3945,-122.23956072
3960,-120.23174432
3975,-120.32237280000001
3990,-122.01536602
4005,-121.54413988
4020,-124.24189772000001
4035,-124.25491156
4050,-127.53167374
4065,-127.17003592
4080,-127.46331692
4095,-126.9716381
4110,-125.56007314000001
4125,-125.28689211999999
4140,-125.2809291
4155,-126.25912478
4170,-122.82598258
4185,-122.35476682
4200,-122.31567392
4215,-123.14111752
4230,-123.06276694
4245,-120.63376063999999
4260,-116.51713871999999
4275,-114.16122394
4290,-112.88872186
4305,-108.50576016000001
4320,-112.72260284000001
4335,-113.70108666
4350,-116.07100022
4365,-115.04956796000002
4380,-115.08538416000002
4395,-112.69224414000001
4410,-112.66868916000001
4425,-111.3397522
4440,-111.2294754
4455,-110.11837908
4470,-107.62545158
4485,-106.87651354
4500,-108.25240776
4515,-105.63669622
4530,-104.57430698000002
4545,-107.08490888000001
4560,-106.12673146
4575,-107.54624365999999
4590,-106.28270642
4605,-109.71562168000003
4620,-111.80899422
4635,-110.33196096
4650,-114.04541366
4665,-113.04282226000001
4680,-109.51845906
4695,-108.25053604
4710,-109.09129094000001
4725,-106.66704192000002
4740,-106.78158796000001
4755,-107.04411766
4770,-105.22875078
4785,-107.86260122
4800,-105.51304511999999
4815,-106.86202408
4830,-108.83407348
4845,-109.73639956
4860,-112.47565258
4875,-116.11999538
4890,-117.32597593999999
4905,-113.63654697999999
4920,-112.75918416
4935,-117.75788286000001
4950,-118.08667666000002
4965,-117.80714386000001
4980,-117.21706104
4995,-118.59744042000001
5010,-120.24650726000002
5025,-121.55124862000001
5040,-123.22947734
5055,-123.41738072000001
5070,-118.64227948000001
5085,-117.8069962
5100,-120.20345146
5115,-121.14356514
5130,-121.80613966
5145,-122.46321463999999
5160,-121.28656516
5175,-121.89375388
5190,-122.33103846000002
5205,-124.66298540000001
5220,-125.9402581
5235,-130.21882444
5250,-128.82412330000002
5265,-129.04026732
5280,-130.61101879999998
5295,-130.37057819999998
5310,-126.64432908
5325,-127.23232050000001
5340,-130.16838502000002
5355,-126.05836750000002
5370,-124.95826066000001
5385,-125.40253862
5400,-124.55218372
5415,-125.00413858
5430,-124.40357094
5445,-126.56795598000001
5460,-125.05138496
5475,-125.19083088000001
5490,-123.30169008000003
5505,-123.56901998000001
5520,-122.27025144000001
5535,-117.68925846
5550,-117.39442696
5565,-115.68937206
5580,-114.79922776
5595,-114.85192923999999
5610,-110.54235435999999
5625,-107.73898936000002
5640,-106.28627984
5655,-108.46657798
5670,-109.00688996000001
5685,-103.74531044000001
5700,-102.74332652000002
5715,-104.44397506000001
5730,-105.14690338000001
5745,-104.10597946000001
5760,-113.30169328
5775,-113.7739963
5790,-115.19452162
5805,-114.68298754
5820,-120.79421880000001
5835,-120.0683116
5850,-115.77788406
5865,-114.90462388
5880,-113.7984535
5895,-113.73244744
5910,-114.20466028
5925,-115.07488468
5940,-115.49402408
5955,-116.24150996
5970,-116.57678895999999
5985,-112.72480811999999
6000,-116.0976182
6015,-115.89216676
6030,-118.21348531999999
6045,-117.56852476
6060,-116.10109088
6075,-116.02537792
6090,-113.1232339
6105,-119.86865262
6120,-122.0577305
6135,-124.57555372
6150,-124.10261702000001
6165,-123.90705002000001
6180,-123.75127040000001
6195,-124.00571010000002
6210,-123.44357484000001
6225,-123.49898012000001
6240,-124.24600597999999
6255,-128.51695139999998
6270,-128.38417494
6285,-127.92473222000001
6300,-127.99864206000001
6315,-128.46672406000002
6330,-128.15791004000002
6345,-127.45594328
6360,-127.5609429
6375,-128.10753456
6390,-129.7524255
6405,-128.62029442
6420,-129.17880112
6435,-128.83822994000002
6450,-128.59138789999997
6465,-126.17838842
6480,-124.78167852
6495,-126.6130679
6510,-116.75289992
6525,-117.54695002
6540,-116.87748171999999
6555,-116.91796117999999
6570,-110.23109353999999
6585,-110.65102132
6600,-109.82048520000001
6615,-114.9183014
6630,-115.33102148
6645,-116.41020808
6660,-116.29133988000001
6675,-115.57336218000002
6690,-115.83340980000003
6705,-114.34301572000001
6720,-115.33794350000001
6735,-114.22603134
6750,-115.15518175999999
6765,-114.49085786
6780,-110.93832516
6795,-110.20404298000001
6810,-111.97463042
6825,-110.5360295
6840,-114.84759468
6855,-108.61200854000002
6870,-103.64823568000001
6885,-101.94086824000001
6900,-100.68050144000001
6915,-106.16546106000001
6930,-109.60574150000001
6945,-108.9026788
6960,-111.59655458
6975,-110.63548780000002
6990,-109.66923302
7005,-103.85575604
7020,-104.48733978000001
7035,-104.32180394000002
7050,-104.1694449
7065,-103.43502234
7080,-101.85668838000001
7095,-103.01326132000001
7110,-102.5148287
7125,-102.79354201999999
7140,-101.40629369999999
7155,-100.26861663999999
7170,-99.8633202
7185,-100.07634054
7200,-101.5592518
7215,-104.83805407999999
7230,-105.86269553999999
7245,-103.60438197999999
7260,-103.73842952
7275,-104.30332288
7290,-100.95733407999998
7305,-101.64509283999999
7320,-101.77348148
7335,-103.3508236
7350,-103.0557478
7365,-99.30446946
7380,-98.74599156000001
7395,-97.95109022
7410,-97.1024074
7425,-99.18791396
7440,-99.45618328
7455,-98.96291622000001
7470,-97.86340528
7485,-98.68057352
7500,-103.97512978
7515,-106.19098246
7530,-106.06184178
7545,-106.44069392
7560,-105.71472402
7575,-106.04338926
7590,-104.55431356
7605,-104.25231402000001
7620,-104.35104816
7635,-103.44930182
7650,-101.02999722000001
7665,-95.12944652000002
7680,-92.66655012
7695,-90.75886292
7710,-89.50008830000002
7725,-90.23051172000001
7740,-89.86614564
7755,-89.38655882
7770,-88.52562218
7785,-88.68703267999999
7800,-87.90506371999999
7815,-87.71807722
7830,-88.3164834
7845,-87.03386514
7860,-87.94353415999998
7875,-87.81634511999998
7890,-87.68119884
7905,-87.7104363
7920,-88.36663664
7935,-89.01359541999999
7950,-90.11238094000001
7965,-87.36101684000002
7980,-88.8506376
7995,-88.23461244
8010,-88.25125742
8025,-87.872524
8040,-88.08093462000001
8055,-87.26604368
8070,-87.14865156
8085,-88.36166604
8100,-88.20578652
8115,-88.82075576000001
8130,-88.7676917
8145,-87.2639375
8160,-88.32644836
8175,-85.69458034000002
8190,-85.46667446
8205,-83.42788262
8220,-82.07120362
8235,-82.20501542
8250,-72.76865955999999
8265,-71.80594366
8280,-71.95188395999999
8295,-71.297813
8310,-71.52873148
8325,-70.59046901999999
8340,-67.65370884
8355,-66.54605699999999
8370,-68.2707923
8385,-68.75029233999999
8400,-69.75652702000001
8415,-70.05048132000002
8430,-69.72883774
8445,-69.74980476
8460,-69.7664804
8475,-68.72381558
8490,-71.75285405999999
8505,-73.45173802
8520,-72.77165175999998
8535,-73.09163066
8550,-73.37984736000001
8565,-73.47037598000001
8580,-72.71204948
8595,-72.70004905999998
8610,-71.83962478
8625,-71.07750552000002
8640,-70.67437530000001
8655,-70.29599892
8670,-69.56150383999999
8685,-68.65847438
8700,-66.52304978
8715,-67.73090215999999
8730,-65.11418854
8745,-65.57708496
8760,-64.75583124
8775,-61.8266178
8790,-64.18002312
8805,-66.73246492
8820,-67.2117901
8835,-67.59368664
8850,-67.52550473999999
8865,-66.05935404
8880,-65.61228418
8895,-65.82843516
8910,-65.58766607999999
8925,-66.21424622
8940,-67.17725970000001
8955,-67.73673708
8970,-67.58142994
8985,-68.49809970000001
9000,-69.79330378
9015,-68.98633316
9030,-68.58977181999998
9045,-68.6937093
9060,-67.45296802000001
9075,-68.61995058000001
9090,-68.87216368
9105,-68.680086
9120,-66.92985004
9135,-69.48386826
9150,-69.15446194
9165,-71.6265384
9180,-73.28262597999999
9195,-73.36578858
9210,-74.4646139
9225,-74.2446346
9240,-72.40539908
9255,-72.21381432
9270,-72.9746423
9285,-74.18707463999999
9300,-74.54290732
9315,-75.28400893999999
9330,-75.76591893999999
9345,-77.076941
9360,-77.73971988
9375,-77.5009709
9390,-77.22305322
9405,-77.65540204
9420,-78.10948538
9435,-77.90801888
9450,-77.43395954
9465,-75.84375316
9480,-78.62916022
9495,-78.4979836
9510,-79.54428498000001
9525,-79.7337516
9540,-78.43903984
9555,-76.19491932
9570,-76.37243840000001
9585,-73.87061194
9600,-73.74245400000001
9615,-73.0984712
9630,-73.59833452000001
9645,-73.7275865
9660,-75.67001262000001
9675,-74.3339415
9690,-73.84136814
9705,-74.76296117999999
9720,-75.48302607999999
9735,-74.10398062
9750,-72.66392968000001
9765,-72.712572
9780,-75.4247353
9795,-75.46307454
9810,-76.25416018
9825,-75.97456718000001
9840,-75.33193534000002
9855,-76.64547340000001
9870,-76.36711182000002
9885,-72.58140302000002
9900,-72.11140708
9915,-70.58485972
9930,-69.21537778000001
9945,-68.74899602
9960,-69.14468932
9975,-69.75559648000001
9990,-68.73582306
10005,-67.57099526
10020,-68.86714398000001
10035,-67.20822654000001
10050,-69.83733892
10065,-69.60529025999999
10080,-69.38275923999998
10095,-68.64497433999999
10110,-68.78630074
10125,-68.11079728
10140,-67.97876676
10155,-67.96471594
10170,-68.1987526
10185,-77.59150228
10200,-77.42879632
10215,-79.86052070000001
10230,-76.99196598
10245,-76.7076281
10260,-75.47144732
10275,-75.89997174
10290,-74.25274013999999
10305,-73.95942764
10320,-73.87671862
10335,-72.80500238
10350,-75.52728590000002
10365,-77.2229288
10380,-76.50691488
10395,-78.32481786
10410,-79.15488755999999
10425,-79.83896924
10440,-78.03100457999999
10455,-76.87701036
10470,-75.85361854
10485,-76.27599062000002
10500,-76.4367675
10515,-77.63720996
10530,-74.71493034
10545,-74.00959259999999
10560,-73.91799262
10575,-73.54686712
10590,-73.86768873999999
10605,-72.70356661999999
10620,-72.55518656
10635,-73.34363422000001
10650,-73.15329910000001
10665,-75.30935317999999
10680,-75.8056753
10695,-76.47652662
10710,-74.15943997999999
10725,-73.70679118
10740,-73.18871175999999
10755,-73.3068402
10770,-71.61923612
10785,-72.50305908
10800,-69.37515916000001
10815,-69.60261238
10830,-69.59640619999999
10845,-68.95308958000001
10860,-68.30893742
10875,-68.20417938
10890,-68.25494626
10905,-68.4485026
10920,-68.12110298
10935,-59.8485435
10950,-60.9662845
10965,-58.22815312
10980,-58.23287166
10995,-58.42548172
11010,-58.223521999999996
11025,-57.261382139999995
11040,-58.50201166000001
11055,-59.35244046
11070,-58.68802863999999
11085,-59.074600739999994
11100,-56.33965574
11115,-55.56300468
11130,-55.776140240000004
11145,-54.967062340000005
11160,-51.24799644
11175,-50.268268660000004
11190,-51.47287206
11205,-51.809195179999996
11220,-52.93214363999999
11235,-51.85530248
11250,-51.98018858
11265,-50.85072324
11280,-50.685666600000005
11295,-51.34680094
11310,-52.327018720000005
11325,-51.81031436
11340,-51.715603859999995
11355,-54.74353103999999
11370,-56.173871899999995
11385,-56.3555678
11400,-57.251486039999996
11415,-53.77557778
11430,-56.52924978
11445,-57.55426684
11460,-56.73869200000001
11475,-57.68233122
11490,-58.149697780000004
11505,-59.25760296
11520,-63.68192216
11535,-63.49691154
11550,-63.50702262
11565,-62.34498404000001
11580,-62.852794380000006
11595,-64.17383104000001
11610,-63.83680878
11625,-64.77972026
11640,-64.96674696
11655,-66.27981064
11670,-66.3268664
11685,-65.28336402000001
11700,-64.94774844
11715,-66.09943038
11730,-67.71297442
11745,-67.62271208
11760,-67.90996772
11775,-68.49764866
11790,-68.50048722
11805,-68.54639892
11820,-68.68140506
11835,-71.2240486
11850,-72.66783842000001
11865,-72.73513468
11880,-72.56827179999999
11895,-72.43989581999999
11910,-72.76972268
11925,-73.2922061
11940,-72.41735038
11955,-72.65233374
11970,-71.51951747999999
11985,-72.56837914
12000,-72.11423632
12015,-73.02087345999999
12030,-73.82017954
12045,-74.41677132
12060,-75.92564644
12075,-77.14538048
12090,-77.56484531999999
12105,-75.1372975
12120,-76.93608908
12135,-77.09508812
12150,-77.45892892
12165,-77.89321422
12180,-74.15615739999998
12195,-73.32866602000001
12210,-73.54292836000002
12225,-72.58071304
12240,-71.83740022
12255,-80.19042632
12270,-77.38163998
12285,-77.33592362
12300,-77.50150318000001
12315,-79.71243390000002
