#{"t_start": 1651713176.0971568, "env_id": null}
r,l,t
-208.936452,90,0.092614
-255.991777,90,0.181233
-227.89013,90,0.253837
-129.628398,90,0.334204
-167.426211,90,0.402425
-155.946536,90,0.474799
-238.717323,90,0.543082
-144.573663,90,0.623521
-209.929228,90,0.695865
-195.269061,90,0.764485
-303.914963,90,0.844898
-248.166617,90,0.917152
-192.400029,90,0.98546
-149.163271,90,1.057673
-237.847959,90,1.125902
-327.20595,90,1.206182
-212.18308,90,1.278474
-197.217836,90,1.346696
-346.209561,90,1.419221
-136.621021,90,1.487563
-128.537212,90,1.560026
-172.197375,90,1.628339
-252.242794,90,1.891941
-383.527768,90,1.970708
-278.662954,90,2.051324
-137.162305,90,2.123733
-156.068249,90,2.192039
-118.624621,90,2.254336
-157.161814,90,2.3248
-114.497656,90,2.395229
-144.330323,90,2.465688
-184.118836,90,2.534104
-188.954651,90,2.604465
-157.329649,90,2.666781
-165.794833,90,2.737118
-111.163516,90,2.807577
-193.22664,90,2.867924
-351.076502,90,2.938407
-162.848566,90,3.008882
-393.573553,90,3.079155
-111.499801,90,3.149522
-180.173499,90,3.218465
-180.742813,90,3.278805
-157.058181,90,3.351262
-229.700369,90,3.419628
-167.090297,90,3.673716
-183.7266,90,3.754727
-181.425854,90,3.825335
-154.436879,90,3.895605
-121.033363,90,3.975985
-94.028572,90,4.044257
-92.361448,90,4.116601
-184.022105,90,4.184933
-210.419272,90,4.257405
-174.907447,90,4.33778
-131.678018,90,4.406122
-210.658078,90,4.478441
-121.209619,90,4.546707
-133.232936,90,4.619022
-155.313103,90,4.69741
-97.85935,90,4.767722
-114.592606,90,4.840164
-137.855322,90,4.90864
-135.249162,90,4.981145
-260.685291,90,5.06149
-303.802255,90,5.129707
-200.729742,90,5.201946
-95.96657,90,5.270544
-103.8066,90,5.532238
-165.781637,90,5.612736
-118.06338,90,5.685177
-75.365454,90,5.753403
-160.861348,90,5.825761
-123.265672,90,5.894108
-174.866049,90,5.974466
-169.594206,90,6.04678
-239.756865,90,6.115057
-160.899384,90,6.187258
-86.612334,90,6.255537
-156.021243,90,6.327897
-192.104478,90,6.406236
-91.06624,90,6.476469
-211.117755,90,6.548845
-205.158333,90,6.617141
-129.480187,90,6.679516
-210.070496,90,6.749912
-115.973521,90,6.818463
-98.323488,90,6.890853
-93.039057,90,6.959208
-94.624329,90,7.021503
-129.237981,90,7.091918
-74.844387,90,7.364362
-102.454699,90,7.443016
-97.831838,90,7.515468
-109.881028,90,7.585789
-163.130722,90,7.654167
-100.918226,90,7.724467
-96.499355,90,7.786806
-103.48469,90,7.857205
-159.777135,90,7.927544
-80.868375,90,7.998526
-91.294753,90,8.058863
-233.464768,90,8.129282
-127.666832,90,8.199672
-105.38668,90,8.270129
-142.716149,90,8.338552
-134.709928,90,8.400964
-134.375732,90,8.471379
-111.610345,90,8.53998
-127.333619,90,8.602484
-233.516329,90,8.670834
-132.430987,90,8.751166
-90.667709,90,8.811473
-106.799085,90,9.085324
-63.239202,90,9.165776
-147.253895,90,9.23419
-100.108829,90,9.31458
-89.312612,90,9.396938
-96.888861,90,9.467269
-79.265734,90,9.531125
-102.78271,90,9.615735
-86.008611,90,9.678223
-107.080682,90,9.747244
-78.917431,90,9.831855
-86.46402,90,9.89434
-108.74465,90,9.978978
-119.26758,90,10.04797
-192.731577,90,10.116959
-102.97856,90,10.195069
-125.665274,90,10.264059
-121.596174,90,10.333061
-55.809413,90,10.417712
-84.089416,90,10.480226
-99.033742,90,10.549217
-126.0927,90,10.633856
-76.51924,90,10.69633
-136.072592,90,10.965781
-68.439874,90,11.034773
-73.327811,90,11.119383
-146.158707,90,11.181872
-103.639289,90,11.266485
-80.685941,90,11.335504
-106.557196,90,11.397997
-105.63986,90,11.472383
-86.241469,90,11.542786
-96.101083,90,11.611215
-61.645303,90,11.673657
-74.502853,90,11.744107
-81.225441,90,11.814615
-59.745507,90,11.883032
-102.829959,90,11.945391
-62.746059,90,12.015878
