Number of Episodes,Rewards
1500,-119.30810764000002
1530,-121.37470818000001
1560,-121.16711142
1590,-120.33709314000001
1620,-120.64991982000002
1650,-121.74574058000002
1680,-122.07863276
1710,-121.65409474
1740,-121.47573914000002
1770,-126.89432312000001
1800,-125.28053168000001
1830,-125.19746692
1860,-126.14180324
1890,-127.05428728000001
1920,-126.33424932000001
1950,-128.10387024
1980,-129.71747604
2010,-132.8659033
2040,-132.53404808000002
2070,-132.69728852
2100,-135.12527234
2130,-135.1831709
2160,-133.11954686
2190,-133.70449514
2220,-129.57161264
2250,-128.9855614
2280,-125.57421826
2310,-124.20633955999999
2340,-118.87788533999999
2370,-119.47756663999999
2400,-120.43331366
2430,-121.77768060000001
2460,-120.63089210000001
2490,-124.23259669999999
2520,-124.02845312
2550,-124.83481711999998
2580,-123.82901517999998
2610,-122.38810873999998
2640,-122.27746899999998
2670,-124.87959794
2700,-124.50854468
2730,-122.56951288
2760,-124.40826557999999
2790,-124.50237745999999
2820,-120.08131456
2850,-119.66051184
2880,-120.5442688
2910,-125.87170378000002
2940,-115.54875142000002
2970,-114.31910892
3000,-114.32090112
3030,-111.7844676
3060,-111.84446398
3090,-112.31914402
3120,-111.42768326000001
3150,-113.76521584000001
3180,-112.99600524
3210,-112.63946587999999
3240,-112.31616966
3270,-106.71724786
3300,-105.82741294
3330,-108.32089896000001
3360,-109.15670646
3390,-108.12342045999999
3420,-109.94786966
3450,-106.28250648
3480,-106.70328102
3510,-104.61356616
3540,-105.00882186
3570,-105.9497744
3600,-106.91283274
3630,-110.3513217
3660,-112.30212493999998
3690,-111.53191862
3720,-114.26681724
3750,-113.5202467
3780,-113.80541224
3810,-112.07539482000001
3840,-113.76552358
3870,-113.54389809999999
3900,-113.15080517999999
3930,-111.22494086
3960,-111.27155236
3990,-108.02766874
4020,-109.10163288000001
4050,-108.87825712000001
4080,-109.77021586000001
4110,-110.19858448000001
4140,-109.80352618
4170,-107.84019006
4200,-107.88191698
4230,-108.3869338
4260,-106.29197756
4290,-105.37074068
4320,-105.6795385
4350,-105.94587008
4380,-106.42169547999998
4410,-99.98308975999998
4440,-100.10456355999999
4470,-101.38650303999998
4500,-100.16789272
4530,-99.92269502
4560,-99.92081694
4590,-113.04104672
4620,-114.20082168
4650,-110.86036354
4680,-113.87933901999999
4710,-113.45899204
4740,-117.8769858
4770,-119.77811258
4800,-120.7143857
4830,-123.08007731999999
4860,-121.97295202000001
4890,-121.1173189
4920,-120.3494167
4950,-120.18389136
4980,-121.68380288
5010,-120.47575668
5040,-119.24998454000001
5070,-118.49984034
5100,-116.68594644000001
5130,-114.53465918
5160,-113.70930340000002
5190,-114.80158378000002
5220,-114.70630016
5250,-114.5563365
5280,-115.32436882000002
5310,-114.96567846
5340,-115.46298920000001
5370,-115.83528136000001
5400,-114.71702358000002
5430,-115.94325694
5460,-114.93333481999998
5490,-114.79694606
5520,-113.93238570000001
5550,-113.77034402000001
5580,-112.7906386
5610,-112.29039038
5640,-112.26396264
5670,-111.78181991999999
5700,-113.54691566
5730,-114.6448723
5760,-118.02671776000001
5790,-118.05218482000001
5820,-117.03712857999999
5850,-117.99895758
5880,-115.26526388
5910,-116.40161532000002
5940,-116.95529576000001
5970,-115.38817582
6000,-115.61211955999998
6030,-118.51152877999999
6060,-118.68092841999999
6090,-104.10103751999999
6120,-103.01787322000001
6150,-104.37583126
6180,-103.34748293999999
6210,-102.82643184
6240,-98.83148888
6270,-97.77991624
6300,-98.54836374
6330,-92.90318525999999
6360,-94.66311721999999
6390,-93.41732748
6420,-93.13222876
6450,-94.24100716
6480,-89.82592798000002
6510,-93.41619436000002
6540,-93.91382364
6570,-93.79294574000001
6600,-92.94014014000001
6630,-92.51920198
6660,-90.90794340000001
6690,-89.63970988
6720,-87.02543771999999
6750,-90.61504372
6780,-90.18027834
6810,-90.86948604000001
6840,-90.99125184
6870,-91.31647235999999
6900,-92.05461862000001
6930,-92.43734208000001
6960,-93.12441473999999
6990,-95.07918065999999
7020,-96.37887278
7050,-95.8998661
7080,-95.78331996000001
7110,-95.29707872
7140,-95.00723562
7170,-98.45276014000001
7200,-95.52359444
7230,-95.04507011999999
7260,-91.65086355999999
7290,-92.10929701999999
7320,-91.91302213999998
7350,-91.70019643999998
7380,-95.58460618
7410,-95.61754168
7440,-94.5784424
7470,-98.99567472000001
7500,-99.72277845999999
7530,-98.6538544
7560,-97.77840611999999
7590,-98.3903122
7620,-98.52707688
7650,-96.40886854
7680,-93.55131126
7710,-95.54883679999999
7740,-95.2126824
7770,-95.50139672
7800,-94.35313749999999
7830,-96.69498402
7860,-96.20650512
7890,-96.67702596
7920,-95.79994166
7950,-94.38206608
7980,-93.79727620000001
8010,-91.13296068000001
8040,-90.92729071999999
8070,-90.71267974
8100,-90.2571209
8130,-89.74709688
8160,-90.83064852
8190,-91.23800462
8220,-90.99093308
8250,-94.69574388000002
8280,-94.27965462000002
8310,-94.08693866
8340,-92.20308935999999
8370,-94.0297333
8400,-93.608221
8430,-92.80178332000001
8460,-91.38887738000001
8490,-89.72442148
8520,-87.80771242000002
8550,-88.39079508
8580,-88.38500044
8610,-89.00434994000001
8640,-88.66904462000001
8670,-86.30658576
8700,-89.06383032
8730,-89.54001418
8760,-89.56163974
8790,-88.87989024
8820,-89.52128080000001
8850,-89.33678196000001
8880,-85.47494588
8910,-85.008889
8940,-85.15528668000002
8970,-84.03863816
9000,-84.31682454
9030,-83.86831502
9060,-87.64716463999999
9090,-87.12799002
9120,-87.75922238000001
9150,-88.78368556000001
9180,-90.22092228000001
9210,-88.30052834000001
9240,-89.23933414000001
9270,-87.8054465
9300,-86.7159992
9330,-85.8569045
9360,-85.6895337
9390,-85.53086196000001
9420,-86.01019588000001
9450,-85.95231126
9480,-85.89329972
9510,-85.64031052
9540,-86.53805112
9570,-86.71595718
9600,-86.61915792
9630,-86.77214754
9660,-84.62259118
9690,-89.15218866000001
9720,-89.91244218
9750,-83.38805112
