#{"t_start": 1651710416.6198654, "env_id": null}
r,l,t
-54.481407,30,0.038895
-101.619924,30,0.067817
-140.245475,30,0.095774
-94.034125,30,0.123668
-96.715302,30,0.151593
-94.275305,30,0.179519
-138.434221,30,0.207444
-65.692185,30,0.236367
-55.50447,30,0.264293
-168.78337,30,0.293216
-91.0779,30,0.321149
-28.829187,30,0.349066
-133.634264,30,0.376992
-67.264964,30,0.404185
-171.366935,30,0.43211
-115.06861,30,0.459038
-56.214358,30,0.485966
-93.224023,30,0.513892
-48.554147,30,0.540819
-33.709839,30,0.568745
-54.234974,30,0.59667
-236.83947,30,0.624423
-77.982339,30,0.65133
-256.773543,30,0.679255
-103.813379,30,0.707181
-233.758938,30,0.734109
-235.359102,30,0.762054
-325.529259,30,0.788985
-24.72596,30,0.817906
-96.668371,30,0.845811
-47.363397,30,0.872739
-174.52372,30,0.899667
-38.135021,30,0.927622
-75.42864,30,0.954533
-58.493778,30,0.982444
-100.724765,30,1.008375
-116.426483,30,1.040291
-78.932531,30,1.06622
-32.988839,30,1.093148
-115.50366,30,1.120076
-110.004686,30,1.147005
-50.459682,30,1.173954
-81.053995,30,1.20086
-321.763923,30,1.227788
-72.227535,30,1.254716
-102.089713,30,1.281644
-83.92682,30,1.307607
-578.613545,30,1.333505
-141.853622,30,1.360443
-90.475681,30,1.387362
-157.811434,30,1.414293
-91.240086,30,1.440223
-98.744561,30,1.467152
-109.675459,30,1.494098
-151.50634,30,1.52001
-110.919914,30,1.546939
-117.20732,30,1.573867
-56.774405,30,1.599887
-326.433669,30,1.626816
-88.093798,30,1.653743
-86.924662,30,1.682667
-76.046003,30,1.709623
-179.258466,30,1.73752
-31.263066,30,1.765446
-259.847981,30,1.792387
-195.7489,30,1.820298
-213.635721,30,1.847242
-76.631262,30,1.874154
-56.716169,30,2.090828
-155.10903,30,2.118767
-57.129902,30,2.147675
-133.658268,30,2.180588
-107.229753,30,2.20951
-50.129418,30,2.240445
-74.510817,30,2.270347
-63.191781,30,2.298272
-166.965167,30,2.326198
-59.106548,30,2.354123
-54.710025,30,2.382129
-144.455722,30,2.409057
-114.581744,30,2.43798
-117.184295,30,2.465905
-218.220251,30,2.492833
-65.221461,30,2.520758
-98.811978,30,2.546712
-50.434668,30,2.574615
-44.381161,30,2.60087
-73.400544,30,2.627799
-163.095286,30,2.654726
-96.950997,30,2.681654
-13.053096,30,2.708581
-142.397317,30,2.73551
-85.759589,30,2.762438
-100.710778,30,2.788369
-51.187399,30,2.815314
-146.277561,30,2.842229
-350.298569,30,2.869152
-62.465927,30,2.895083
-80.371497,30,2.922012
-90.565291,30,2.948939
-30.989758,30,2.975874
-94.239905,30,3.001798
-122.478563,30,3.029724
-65.102421,30,3.056665
-268.382969,30,3.083601
-72.459384,30,3.110508
-99.380352,30,3.137663
-40.609594,30,3.165588
-46.487579,30,3.192516
-43.602052,30,3.220441
-211.598963,30,3.248367
-117.836378,30,3.27603
-127.594166,30,3.304003
-122.485526,30,3.332263
-76.579822,30,3.362182
-216.787627,30,3.391105
-109.149978,30,3.41903
-96.394047,30,3.446955
-103.763796,30,3.475878
-203.261947,30,3.503834
-229.05435,30,3.531738
-231.19843,30,3.559659
-68.719437,30,3.587579
-186.874349,30,3.615906
-37.18229,30,3.643835
-77.450058,30,3.671757
-80.464296,30,3.699844
-143.612986,30,3.72775
-43.628751,30,3.756672
-124.801076,30,3.784597
-18.288528,30,3.813521
-119.51487,30,3.841446
-56.02607,30,3.869372
-118.919668,30,3.897297
-87.64319,30,3.925223
-95.032605,30,3.953147
-65.799592,30,4.164086
-53.647629,30,4.195002
-64.92848,30,4.226916
-99.037343,30,4.254843
-38.303937,30,4.282769
-37.649505,30,4.310692
-39.697745,30,4.339615
-116.150669,30,4.369536
-64.503978,30,4.401451
-170.068831,30,4.430373
-28.368283,30,4.459054
-68.539617,30,4.48698
-144.468471,30,4.515902
-29.634775,30,4.543828
-18.729873,30,4.571752
-94.146001,30,4.601415
-778.490052,30,4.629322
-123.091169,30,4.657262
-101.360062,30,4.685204
-223.408158,30,4.713097
-78.363003,30,4.741022
-261.509282,30,4.768948
-141.543918,30,4.79787
-90.415708,30,4.825796
-329.883544,30,4.853781
-62.480113,30,4.88069
-84.81251,30,4.90893
-84.090416,30,4.936855
-68.303555,30,4.965778
-291.783203,30,4.9947
-48.747668,30,5.023625
-35.10544,30,5.051549
-66.256586,30,5.081469
-112.567252,30,5.118371
-121.489987,30,5.146329
-189.930641,30,5.175218
-123.333456,30,5.203143
-182.110168,30,5.231068
-29.684107,30,5.258994
-115.851674,30,5.28692
-62.529778,30,5.314844
-168.478523,30,5.343767
-62.243359,30,5.374794
-68.888187,30,5.40272
-79.600196,30,5.430645
-69.018764,30,5.457573
-49.206632,30,5.485498
-75.69165,30,5.512688
-79.541106,30,5.539616
-46.047334,30,5.567571
-40.787181,30,5.594597
-52.326242,30,5.622912
-40.821344,30,5.654827
-187.29213,30,5.683749
-93.201769,30,5.712677
-206.741778,30,5.740597
-40.971098,30,5.768522
-65.397857,30,5.797446
-112.595428,30,5.825372
-33.384146,30,5.852299
-85.185855,30,5.880224
-96.223639,30,5.907153
-66.112474,30,5.935078
-40.831962,30,5.963004
-163.700334,30,5.989931
-102.615983,30,6.017856
-49.495507,30,6.045782
-68.932954,30,6.073707
-169.257964,30,6.301097
-171.990742,30,6.334009
-52.310448,30,6.368916
-61.762134,30,6.400831
-88.965286,30,6.430751
-128.838083,30,6.458676
-47.62462,30,6.488596
-150.476711,30,6.518517
-22.523023,30,6.54744
-69.83548,30,6.575364
-123.742475,30,6.600764
-71.029244,30,6.630221
-228.260987,30,6.658146
-59.986904,30,6.685076
-60.212691,30,6.712003
-69.926972,30,6.738932
-100.443079,30,6.76586
-109.367712,30,6.793785
-59.92178,30,6.820713
-51.39656,30,6.847641
-209.164407,30,6.874569
-94.113405,30,6.901497
-96.990163,30,6.927428
-174.566813,30,6.954355
-78.504385,30,6.981283
-105.7955,30,7.008212
-98.736369,30,7.036136
-103.372397,30,7.063832
-146.944928,30,7.09076
-140.676256,30,7.119683
-55.590772,30,7.147607
-40.220027,30,7.174535
-16.475119,30,7.201463
-37.834087,30,7.229388
-213.09757,30,7.256316
-40.833845,30,7.284242
-69.275553,30,7.311169
-37.03145,30,7.338098
-63.892771,30,7.366023
-55.584113,30,7.393948
-101.954143,30,7.421874
-227.604633,30,7.449799
-86.83263,30,7.476727
-44.268675,30,7.503655
-286.97409,30,7.530583
-77.187149,30,7.557511
-110.254131,30,7.583443
-58.843569,30,7.610852
-80.090811,30,7.637781
-75.771188,30,7.664709
-63.347547,30,7.692635
-29.112878,30,7.719563
-152.186725,30,7.748694
-44.954414,30,7.776655
-103.401002,30,7.803583
-71.425122,30,7.830512
-164.716946,30,7.85744
-126.052766,30,7.885366
-46.049065,30,7.912292
-25.981265,30,7.93922
-52.848696,30,7.96615
-41.78975,30,7.993078
-95.045211,30,8.020006
-49.703406,30,8.047931
-49.482142,30,8.073862
-47.14903,30,8.10079
-74.941878,30,8.128716
-163.545294,30,8.156639
-80.289585,30,8.183567
-39.042983,30,8.396354
-394.404947,30,8.425277
-73.308942,30,8.453202
-87.354365,30,8.482125
-80.374348,30,8.516034
-169.836582,30,8.545954
-84.719885,30,8.575875
-58.414485,30,8.605284
-32.7271,30,8.634219
-63.722133,30,8.662133
-44.840803,30,8.690059
-84.744905,30,8.717984
-39.930295,30,8.745909
-47.442594,30,8.775293
-21.068821,30,8.803218
-94.974627,30,8.831143
-178.696073,30,8.859172
-93.084746,30,8.888095
-38.112728,30,8.915022
-29.805296,30,8.942948
-87.653641,30,8.970873
-92.729201,30,8.998797
-34.512829,30,9.026725
-63.529786,30,9.054667
-51.588559,30,9.082604
-231.141664,30,9.110521
-91.096468,30,9.139423
-87.828655,30,9.168348
-247.78605,30,9.195274
-54.13208,30,9.224199
-107.332806,30,9.253149
-114.570706,30,9.282042
-100.974714,30,9.311961
-56.167028,30,9.339152
-91.894704,30,9.368075
-31.70662,30,9.395949
-16.952757,30,9.425021
-121.762211,30,9.452253
-117.684226,30,9.481274
-38.115478,30,9.508988
-49.947961,30,9.53791
-49.954465,30,9.565835
-38.839173,30,9.593761
-82.395751,30,9.622838
-94.590436,30,9.650762
-58.377445,30,9.678687
-42.309067,30,9.706614
-82.591359,30,9.734538
-56.067476,30,9.762477
-306.769459,30,9.79056
-77.055659,30,9.818485
-68.185394,30,9.847409
-45.132456,30,9.875499
-18.872111,30,9.904421
-49.581705,30,9.932347
-77.469146,30,9.960295
-76.170316,30,9.988391
-70.927491,30,10.016316
-31.511905,30,10.044433
-37.316436,30,10.072357
-39.855948,30,10.109259
-48.462096,30,10.138181
-43.867154,30,10.168102
-55.351665,30,10.197025
-102.913346,30,10.22495
-47.288339,30,10.253873
-120.387418,30,10.282795
-67.846829,30,10.311717
-49.318685,30,10.532127
-53.426803,30,10.566037
-27.532148,30,10.596954
-76.085034,30,10.626105
-26.571681,30,10.65403
-28.772231,30,10.684946
-52.949137,30,10.714868
-66.378283,30,10.741796
-37.653811,30,10.769721
-84.883754,30,10.797647
-60.168703,30,10.823577
-39.032349,30,10.850505
-36.445686,30,10.880426
-51.61614,30,10.911343
-47.283888,30,10.940265
-62.541627,30,10.969188
-35.276336,30,10.99811
-47.009396,30,11.02803
-48.240351,30,11.056953
-38.606264,30,11.084878
-76.487461,30,11.111806
-56.931423,30,11.138734
-87.444694,30,11.164665
-51.102958,30,11.19259
-88.863537,30,11.219518
-40.940608,30,11.246446
-51.14886,30,11.273374
-61.61631,30,11.300302
-41.008926,30,11.32723
-110.276663,30,11.353161
-73.519968,30,11.381086
-19.256622,30,11.407017
-50.894525,30,11.433945
-74.440083,30,11.460873
-45.50073,30,11.487801
-163.119998,30,11.513731
-269.556721,30,11.540659
-188.436238,30,11.567588
-79.31699,30,11.594515
-9.161929,30,11.621753
-33.204577,30,11.64868
-30.428328,30,11.675609
-24.867931,30,11.702536
-21.115684,30,11.729465
-97.11647,30,11.755395
-59.761393,30,11.782323
-52.178251,30,11.809251
-32.062892,30,11.836179
-66.609249,30,11.863107
-64.272358,30,11.890034
-50.765278,30,11.916963
-206.382311,30,11.943891
-32.084353,30,11.970819
-17.906873,30,11.99675
-16.277922,30,12.023678
