#{"t_start": 1651952187.670775, "env_id": null}
r,l,t
-112.724151,15,0.018949
-84.966707,15,0.034907
-202.580759,15,0.052859
-121.954336,15,0.067819
-155.780789,15,0.083776
-69.544731,15,0.098735
-45.435763,15,0.112698
-39.174829,15,0.129654
-80.837425,15,0.144613
-39.913534,15,0.160571
-59.88583,15,0.174532
-66.697187,15,0.189492
-237.223917,15,0.203456
-337.180695,15,0.218416
-105.743696,15,0.234373
-120.946406,15,0.248336
-64.013668,15,0.2633
-32.88625,15,0.277259
-132.466418,15,0.292219
-88.026455,15,0.306182
-261.389232,15,0.320145
-108.295538,15,0.334107
-49.796964,15,0.349083
-268.027276,15,0.363031
-110.702857,15,0.376992
-68.209553,15,0.390965
-210.053512,15,0.404918
-62.731456,15,0.418881
-94.711638,15,0.432745
-155.838887,15,0.446703
-160.053885,15,0.460665
-58.907014,15,0.474648
-192.801207,15,0.488591
-244.441392,15,0.502554
-139.27134,15,0.515552
-182.719202,15,0.529481
-91.753058,15,0.544441
-113.252871,15,0.559654
-82.869032,15,0.576608
-34.231565,15,0.594561
-104.486509,15,0.60952
-69.701716,15,0.623487
-54.600683,15,0.636448
-68.730455,15,0.650411
-22.927554,15,0.664374
-269.672288,15,0.678337
-367.975384,15,0.692299
-47.831469,15,0.706261
-194.568433,15,0.721222
-148.839817,15,0.735184
-211.283604,15,0.749147
-319.024622,15,0.763109
-66.087969,15,0.777073
-365.012284,15,0.792032
-390.924389,15,0.805995
-207.114272,15,0.819957
-38.780062,15,0.834918
-113.5569,15,0.84888
-34.91756,15,0.862861
-108.336077,15,0.876806
-52.222875,15,0.889786
-126.692187,15,0.903734
-207.199297,15,0.916726
-259.546929,15,0.930661
-95.868882,15,0.943627
-209.250324,15,0.95759
-69.111458,15,0.970555
-180.777171,15,0.984518
-167.188808,15,0.997482
-123.099837,15,1.011446
-223.593345,15,1.02441
-32.743145,15,1.037388
-123.265725,15,1.051339
-328.222633,15,1.064304
-101.250338,15,1.078267
-181.177891,15,1.09223
-58.898234,15,1.1052
-71.768108,15,1.11816
-69.92413,15,1.132133
-171.634298,15,1.145089
-230.47923,15,1.15905
-60.753031,15,1.172016
-126.296332,15,1.185978
-72.498068,15,1.198944
